UNIQUE CODE (2022),STATE (2022),PARLIAMENT CONSTITUENCY CODE (2022),PARLIAMENT CONSTITUENCY NAME (2022),AREA (SQ KM),Notes
P. 001,PERLIS,P. 001,PADANG BESAR,450,AS per 2018 Gazetted Redelineation
P. 002,PERLIS,P. 002,KANGAR,141,AS per 2018 Gazetted Redelineation
P. 003,PERLIS,P. 003,ARAU,222,AS per 2018 Gazetted Redelineation
P. 004,KEDAH,P. 004,LANGKAWI,469,AS per 2018 Gazetted Redelineation
P. 005,KEDAH,P. 005,JERLUN,316,AS per 2018 Gazetted Redelineation
P. 006,KEDAH,P. 006,KUBANG PASU,634,AS per 2018 Gazetted Redelineation
P. 007,KEDAH,P. 007,PADANG TERAP,1357,AS per 2018 Gazetted Redelineation
P. 008,KEDAH,P. 008,POKOK SENA,322,AS per 2018 Gazetted Redelineation
P. 009,KEDAH,P. 009,ALOR SETAR,111,AS per 2018 Gazetted Redelineation
P. 010,KEDAH,P. 010,KUALA KEDAH,233,AS per 2018 Gazetted Redelineation
P. 011,KEDAH,P. 011,PENDANG,629,AS per 2018 Gazetted Redelineation
P. 012,KEDAH,P. 012,JERAI,458,AS per 2018 Gazetted Redelineation
P. 013,KEDAH,P. 013,SIK,1645,AS per 2018 Gazetted Redelineation
P. 014,KEDAH,P. 014,MERBOK,451,AS per 2018 Gazetted Redelineation
P. 015,KEDAH,P. 015,SUNGAI PETANI,261,AS per 2018 Gazetted Redelineation
P. 016,KEDAH,P. 016,BALING,1540,AS per 2018 Gazetted Redelineation
P. 017,KEDAH,P. 017,PADANG SERAI,343,AS per 2018 Gazetted Redelineation
P. 018,KEDAH,P. 018,KULIM-BANDAR BAHARU,690,AS per 2018 Gazetted Redelineation
P. 019,KELANTAN,P. 019,TUMPAT,180,AS per 2018 Gazetted Redelineation
P. 020,KELANTAN,P. 020,PENGKALAN CHEPA,85,AS per 2018 Gazetted Redelineation
P. 021,KELANTAN,P. 021,KOTA BHARU,33,AS per 2018 Gazetted Redelineation
P. 022,KELANTAN,P. 022,PASIR MAS,176,AS per 2018 Gazetted Redelineation
P. 023,KELANTAN,P. 023,RANTAU PANJANG,392,AS per 2018 Gazetted Redelineation
P. 024,KELANTAN,P. 024,KUBANG KERIAN,141,AS per 2018 Gazetted Redelineation
P. 025,KELANTAN,P. 025,BACHOK,279,AS per 2018 Gazetted Redelineation
P. 026,KELANTAN,P. 026,KETEREH,141,AS per 2018 Gazetted Redelineation
P. 027,KELANTAN,P. 027,TANAH MERAH,687,AS per 2018 Gazetted Redelineation
P. 028,KELANTAN,P. 028,PASIR PUTEH,423,AS per 2018 Gazetted Redelineation
P. 029,KELANTAN,P. 029,MACHANG,528,AS per 2018 Gazetted Redelineation
P. 030,KELANTAN,P. 030,JELI,1500,AS per 2018 Gazetted Redelineation
P. 031,KELANTAN,P. 031,KUALA KRAI,2288,AS per 2018 Gazetted Redelineation
P. 032,KELANTAN,P. 032,GUA MUSANG,8174,AS per 2018 Gazetted Redelineation
P. 033,TERENGGANU,P. 033,BESUT,1027,AS per 2018 Gazetted Redelineation
P. 034,TERENGGANU,P. 034,SETIU,1672,AS per 2018 Gazetted Redelineation
P. 035,TERENGGANU,P. 035,KUALA NERUS,331,AS per 2018 Gazetted Redelineation
P. 036,TERENGGANU,P. 036,KUALA TERENGGANU,57,AS per 2018 Gazetted Redelineation
P. 037,TERENGGANU,P. 037,MARANG,714,AS per 2018 Gazetted Redelineation
P. 038,TERENGGANU,P. 038,HULU TERENGGANU,3973,AS per 2018 Gazetted Redelineation
P. 039,TERENGGANU,P. 039,DUNGUN,2687,AS per 2018 Gazetted Redelineation
P. 040,TERENGGANU,P. 040,KEMAMAN,2540,AS per 2018 Gazetted Redelineation
P. 041,PULAU PINANG,P. 041,KEPALA BATAS,138,AS per 2018 Gazetted Redelineation
P. 042,PULAU PINANG,P. 042,TASEK GELUGOR,109,AS per 2018 Gazetted Redelineation
P. 043,PULAU PINANG,P. 043,BAGAN,20,AS per 2018 Gazetted Redelineation
P. 044,PULAU PINANG,P. 044,PERMATANG PAUH,98,AS per 2018 Gazetted Redelineation
P. 045,PULAU PINANG,P. 045,BUKIT MERTAJAM,78,AS per 2018 Gazetted Redelineation
P. 046,PULAU PINANG,P. 046,BATU KAWAN,129,AS per 2018 Gazetted Redelineation
P. 047,PULAU PINANG,P. 047,NIBONG TEBAL,178,AS per 2018 Gazetted Redelineation
P. 048,PULAU PINANG,P. 048,BUKIT BENDERA,65,AS per 2018 Gazetted Redelineation
P. 049,PULAU PINANG,P. 049,TANJONG,6,AS per 2018 Gazetted Redelineation
P. 050,PULAU PINANG,P. 050,JELUTONG,10,AS per 2018 Gazetted Redelineation
P. 051,PULAU PINANG,P. 051,BUKIT GELUGOR,32,AS per 2018 Gazetted Redelineation
P. 052,PULAU PINANG,P. 052,BAYAN BARU,41,AS per 2018 Gazetted Redelineation
P. 053,PULAU PINANG,P. 053,BALIK PULAU,147,AS per 2018 Gazetted Redelineation
P. 054,PERAK,P. 054,GERIK,4521,AS per 2018 Gazetted Redelineation
P. 055,PERAK,P. 055,LENGGONG,1793,AS per 2018 Gazetted Redelineation
P. 056,PERAK,P. 056,LARUT,1129,AS per 2018 Gazetted Redelineation
P. 057,PERAK,P. 057,PARIT BUNTAR,145,AS per 2018 Gazetted Redelineation
P. 058,PERAK,P. 058,BAGAN SERAI,770,AS per 2018 Gazetted Redelineation
P. 059,PERAK,P. 059,BUKIT GANTANG,833,AS per 2018 Gazetted Redelineation
P. 060,PERAK,P. 060,TAIPING,118,AS per 2018 Gazetted Redelineation
P. 061,PERAK,P. 061,PADANG RENGAS,395,AS per 2018 Gazetted Redelineation
P. 062,PERAK,P. 062,SUNGAI SIPUT,1850,AS per 2018 Gazetted Redelineation
P. 063,PERAK,P. 063,TAMBUN,535,AS per 2018 Gazetted Redelineation
P. 064,PERAK,P. 064,IPOH TIMOR,43,AS per 2018 Gazetted Redelineation
P. 065,PERAK,P. 065,IPOH BARAT,37,AS per 2018 Gazetted Redelineation
P. 066,PERAK,P. 066,BATU GAJAH,216,AS per 2018 Gazetted Redelineation
P. 067,PERAK,P. 067,KUALA KANGSAR,576,AS per 2018 Gazetted Redelineation
P. 068,PERAK,P. 068,BERUAS,754,AS per 2018 Gazetted Redelineation
P. 069,PERAK,P. 069,PARIT,560,AS per 2018 Gazetted Redelineation
P. 070,PERAK,P. 070,KAMPAR,547,AS per 2018 Gazetted Redelineation
P. 071,PERAK,P. 071,GOPENG,577,AS per 2018 Gazetted Redelineation
P. 072,PERAK,P. 072,TAPAH,893,AS per 2018 Gazetted Redelineation
P. 073,PERAK,P. 073,PASIR SALAK,1064,AS per 2018 Gazetted Redelineation
P. 074,PERAK,P. 074,LUMUT,343,AS per 2018 Gazetted Redelineation
