UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2021)
P.140_N. 01,JOHOR,P.140,SEGAMAT,N. 01,BULOH KASAP,28481,56.93,31.55,10.94,0.18,0.04,0.06,0.30,99.95,0.01,0.04,0,5.36,21.07,24.51,15.8,13.63,12.59,4.87,1.73,0.43,50.22,49.78,SEMI URBAN
P.140_N. 02,JOHOR,P.140,SEGAMAT,N. 02,JEMENTAH,41221,40.80,50.45,7.98,0.02,0.20,0.26,0.29,97.26,0.01,1.57,1.16,4.68,17.84,21,15.79,15.58,14.58,7.17,2.82,0.53,50.45,49.55,SEMI URBAN
P.141_N. 03,JOHOR,P.141,SEKIJANG,N. 03,PEMANIS,29923,63.58,33.41,2.36,0.01,0.06,0.08,0.50,99.98,0.02,0,0,5.31,19.47,22.79,17.69,13.53,13.01,6.04,1.86,0.3,49.54,50.46,SEMI URBAN
P.141_N. 04,JOHOR,P.141,SEKIJANG,N. 04,KEMELAH,33702,54.28,39.46,5.43,0.34,0.07,0.06,0.36,100,0,0,0,6.82,23.3,23.58,16.96,12.52,9.74,5.32,1.58,0.19,49.49,50.51,SEMI URBAN
P.142_N. 05,JOHOR,P.142,LABIS,N. 05,TENANG,22613,49.17,37.94,11.17,1.33,0.10,0.05,0.26,99.96,0.01,0.03,0,5.13,18.22,21.24,18.36,16.2,11.38,6.38,2.64,0.46,50.1,49.9,RURAL
P.142_N. 06,JOHOR,P.142,LABIS,N. 06,BEKOK,27426,30.26,48.75,18.39,2.06,0.11,0.04,0.38,99.84,0.01,0.15,0,4.8,17.97,20.29,17.3,15.79,13.48,7.1,2.67,0.61,50.35,49.65,SEMI URBAN
P.143_N. 07,JOHOR,P.143,PAGOH,N. 07,BUKIT KEPONG,37495,70.32,26.08,2.73,0.58,0.06,0.05,0.18,99.82,0.01,0.17,0,5.07,19.03,23.23,15.84,15.09,12.9,5.38,2.9,0.57,49.97,50.03,RURAL
P.143_N. 08,JOHOR,P.143,PAGOH,N. 08,BUKIT PASIR,32213,62.31,33.10,4.15,0.00,0.16,0.09,0.19,99.92,0,0.08,0,7.15,23.01,20.94,16.88,14.26,9.99,4.89,2.42,0.47,49.72,50.28,SEMI URBAN
P.144_N. 09,JOHOR,P.144,LEDANG,N. 09,GAMBIR,29434,59.39,36.51,3.75,0.01,0.06,0.07,0.21,99.88,0.01,0.11,0,6.38,20.71,20.53,17.11,15.44,10.96,5.8,2.63,0.44,49.55,50.45,SEMI URBAN
P.144_N. 10,JOHOR,P.144,LEDANG,N. 10,TANGKAK,35554,40.63,48.02,9.95,0.88,0.13,0.06,0.34,99.36,0.03,0.6,0,6.47,21.02,20.69,16.9,14.71,11.53,6.12,2.16,0.39,49.63,50.37,SEMI URBAN
P.144_N. 11,JOHOR,P.144,LEDANG,N. 11,SEROM,39018,67.12,31.59,0.94,0.01,0.07,0.07,0.20,99.95,0.01,0.04,0,6.37,22.24,21.58,16.04,14.55,11.04,5.35,2.38,0.44,49.02,50.98,SEMI URBAN
P.145_N. 12,JOHOR,P.145,BAKRI,N. 12,BENTAYAN,34728,26.50,70.67,2.30,0.01,0.07,0.09,0.37,99.96,0.01,0.03,0,4.07,15.42,18.03,16.86,16.69,15.64,8.78,3.7,0.81,49.09,50.91,URBAN
P.145_N. 13,JOHOR,P.145,BAKRI,N. 13,SIMPANG JERAM,40014,52.66,44.21,2.50,0.00,0.11,0.09,0.42,99.98,0.02,0,0,6.81,23.58,22.59,17.23,13.21,9.98,4.83,1.54,0.22,48.95,51.05,URBAN
P.145_N. 14,JOHOR,P.145,BAKRI,N. 14,BUKIT NANING,22594,63.32,35.11,0.97,0.01,0.16,0.17,0.26,95.71,0.03,4.27,0,5.35,19.7,21.12,18.17,16.44,11.52,5.14,2.24,0.32,50.75,49.25,SEMI URBAN
P.146_N. 15,JOHOR,P.146,MUAR,N. 15,MAHARANI,38596,61.61,35.53,2.16,0.03,0.16,0.09,0.43,98.49,0.02,1.48,0,6.14,21.25,21.55,16.51,14.24,11.51,5.76,2.46,0.58,49.72,50.28,URBAN
P.146_N. 16,JOHOR,P.146,MUAR,N. 16,SUNGAI BALANG,30121,73.63,25.78,0.14,0.05,0.09,0.07,0.24,99.92,0.01,0.07,0,5.97,21.26,21.4,16.95,14.54,10.9,5.77,2.59,0.61,49.53,50.47,RURAL
P.147_N. 17,JOHOR,P.147,PARIT SULONG,N. 17,SEMERAH,46640,74.29,24.85,0.49,0.02,0.06,0.08,0.21,99.97,0,0.02,0,5.76,19.28,18.92,15.82,16.51,13.31,6.85,2.89,0.66,49.08,50.92,RURAL
P.147_N. 18,JOHOR,P.147,PARIT SULONG,N. 18,SRI MEDAN,32696,90.60,8.57,0.29,0.12,0.05,0.05,0.31,99.88,0.02,0.1,0,6.55,22.29,21.13,16.81,15.35,10.09,4.96,2.39,0.43,49.28,50.72,RURAL
P.148_N. 19,JOHOR,P.148,AYER HITAM,N. 19,YONG PENG,33053,35.08,57.65,6.80,0.01,0.06,0.06,0.34,99.87,0.01,0.11,0,6.1,20.93,20.5,17.19,15.43,11.73,5.49,2.28,0.35,50.35,49.65,SEMI URBAN
P.148_N. 20,JOHOR,P.148,AYER HITAM,N. 20,SEMARANG,27734,86.23,12.62,0.68,0.00,0.08,0.07,0.32,99.95,0.01,0.04,0,6.85,21.96,21.14,17.05,15.44,10.1,5.02,2.07,0.37,49.53,50.47,RURAL
P.149_N. 21,JOHOR,P.149,SRI GADING,N. 21,PARIT YAANI,41851,55.79,42.83,0.85,0.02,0.11,0.04,0.36,99.95,0.02,0.03,0,7.55,25.71,21.64,16.63,13.7,9.07,3.86,1.64,0.2,49.46,50.54,SEMI URBAN
P.149_N. 22,JOHOR,P.149,SRI GADING,N. 22,PARIT RAJA,36059,74.32,23.47,1.72,0.00,0.10,0.10,0.28,99.72,0.02,0.08,0.18,7.43,23.69,19.52,15.82,15.69,10.44,4.96,2.09,0.37,49.55,50.45,SEMI URBAN
P.150_N. 23,JOHOR,P.150,BATU PAHAT,N. 23,PENGGARAM,69092,36.66,60.58,2.12,0.01,0.11,0.09,0.42,99.31,0.03,0.66,0,5.28,19.84,21.48,17.27,15,12.03,6.39,2.3,0.4,48.99,51.01,URBAN
