UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2022),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,PBM,PBM CANDIDATE,PBM CANDIDATE GENDER,PBM CANDIDATE AGE,PBM VOTE,PBM CANDIDATE LOST DEPOSIT,PEJUANG,PEJUANG CANDIDATE,PEJUANG CANDIDATE GENDER,PEJUANG CANDIDATE AGE,PEJUANG VOTE,PEJUANG CANDIDATE LOST DEPOSIT,MUDA,MUDA CANDIDATE,MUDA CANDIDATE GENDER,MUDA CANDIDATE AGE,MUDA VOTE,MUDA CANDIDATE  LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARSIAN VOTE,WARISAN CANDIDATE LOST DEPOSIT,PSM,PSM CANDIDATE,PSM CANDIDATE GENDER,PSM CANDIDATE AGE,PSM VOTE,PSM CANDIDATE LOST DEPOSIT,PUTRA,PUTRA CANDIDATE,PUTRA CANDIDATE GENDER,PUTRA CANDIDATE AGE,PUTRA VOTE,PUTRA CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.140_N. 01,JOHOR,P.140,SEGAMAT,N. 01,BULOH KASAP,BN-UMNO,,28481,5377,57.07,16255,67,464,15724,UMNO,ZAHARI SARIP,MALE,55,8956,,PKR,SUBRAMANI CHAMI,MALE,55,3579,,PPBM,NORAZMAN,MALE,51,2999,,,,,,,,PEJUANG,MOHD HANAFI BIN AHMAD,MALE,49,190,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.140_N. 02,JOHOR,P.140,SEGAMAT,N. 02,JEMENTAH,PH-DAP,,41221,714,53.73,22146,104,348,21694,MCA,SEE ANN GIAP,MALE,31,8163,,DAP,NG KOR SIM,FEMALE,39,8877,,PAS,CIKGU MUNA,FEMALE,46,4654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.141_N. 03,JOHOR,P.141,SEKIJANG,N. 03,PEMANIS,BN-UMNO,,29923,4187,58.95,17640,98,301,17241,UMNO,ANUAR BIN ABD. MANAP,MALE,46,8678,,PKR,YOONG THAU,MALE,60,4491,,PPBM,UZZAIR BIN ISMAIL,MALE,39,3825,,,,,,,,PEJUANG,DR. HJ. AZITA BIN AMRIN,MALE,63,247,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.141_N. 04,JOHOR,P.141,SEKIJANG,N. 04,KEMELAH,BN-MIC,,33702,1611,55.69,18770,80,412,18278,MIC,SARAS,FEMALE,58,7518,,PAN,DR. SULAIMAN MOHD NOH,MALE,62,5907,,PAS,CIKGU MALA,FEMALE,49,4639,,,,,,,,PEJUANG,NORIZAN BIN SAHARDIN,MALE,59,214,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.142_N. 05,JOHOR,P.142,LABIS,N. 05,TENANG,BN-UMNO,,22613,1736,54.47,12317,59,281,11977,UMNO,HASLINDA BINTI SALLEH,FEMALE,48,5380,,,,,,,,PPBM,AHMAD HUMAIZI BIN UZIR,MALE,38,2729,,,,,,,,PEJUANG,MOHD FAUZI BIN BACHOK,MALE,44,224,LOST DEPOSIT,MUDA,LIM WEI JIET,MALE,31,3644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.142_N. 06,JOHOR,P.142,LABIS,N. 06,BEKOK,BN-MCA,,27426,3569,51.31,14071,86,271,13714,MCA,TAN CHONG,MALE,47,7036,,DAP,KANAN M.,MALE,,3467,,PPBM,TAN LEK KHANG,MALE,37,2881,,,,,,,,,,,,,,,,,,,,WARISAN,SANDARA SEGARAN A/L ARUMUGAM,MALE,54,330,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.143_N. 07,JOHOR,P.143,PAGOH,N. 07,BUKIT KEPONG,PN-PPBM,,37495,710,61.01,22874,85,486,22303,UMNO,HJ ISMAIL BIN MOHAMED,MALE,51,9163,,,,,,,,PPBM,DATO' DR SAHRUDDIN BIN JAMAL,MALE,47,9873,,,,,,,,PEJUANG,HJ. MD TAIB SUHUT,MALE,60,191,LOST DEPOSIT,MUDA,AFIQAH ZULKIFLI,FEMALE,31,3076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.143_N. 08,JOHOR,P.143,PAGOH,N. 08,BUKIT PASIR,BN-UMNO,,32213,198,59.85,19281,63,381,18837,UMNO,MOHAMAD FAZLI BIN MOHAMAD SALLEH,MALE,35,6048,,PAN,ELIA NADIRA,FEMALE,38,4676,,PAS,IQBAL RAZAK,MALE,37,5850,,,,,,,,PEJUANG,MOHD AKHIRI BIN MAHMOOD,MALE,50,196,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,JOHAR BIN HAJI SIRAJ,MALE,,207,LOST DEPOSIT,INDEPENDENT - PENCIL,YB KAPT(B) NAJIB LEP,MALE,59,1860,LOST DEPOSIT,,,,,,
P.144_N. 09,JOHOR,P.144,LEDANG,N. 09,GAMBIR,BN-UMNO,,29434,3146,61.33,18053,245,305,17503,UMNO,SAHRIHAN JANI,MALE,44,7960,,PKR,NAIM JUSRI,MALE,38,4509,,PPBM,MOHD SOLIHAN BIN BADRI,MALE,65,4814,,,,,,,,PEJUANG,SURAYA BINTI SULAIMAN,FEMALE,41,220,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.144_N. 10,JOHOR,P.144,LEDANG,N. 10,TANGKAK,PH-DAP,,35554,372,56.95,20247,81,326,19840,MCA,ONG CHEE SIANG,MALE,32,7733,,DAP,EE CHIN LI,MALE,40,8105,,PPBM,DR. CHONG,MALE,62,3092,,,,,,,,PEJUANG,MUHAMMAD AIREL ZABRIDIN,MALE,26,789,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,ZAINAL BAHROM BIN A KADIR,MALE,63,121,LOST DEPOSIT,,,,,,,,,,,,
