Created on,"15/3/2022, updated on 28/4/2023, 8/6/2026,12/7/2026"
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Election Commission of Malaysia (SPR), Tindak Malaysia (2021), Attorney General Chambers,  Sinar Harian, Berita Harian, New Straits Times, The Star, Harian Metro, Malaysiakini, Bernama, RTM,Utusan TV, Astro Awani Individual, Political Party Facebook Pages, Perikatan Nasional Facebook Page, PERWAKILAN BAHAGIAN KE PERHIMPUNAN AGUNG UMNO 2008, Akhbar Rakyat. Refer to Additional Sources for latest addition (2026) of candidate age"
Disclaimers,There may be discrepancies for the age of candidates as there is no official data released for the attribute. Pakatan Harapan (PH) and MUDA has an electoral pact. There are many missing data points for age attribute for candidates. TindakMalaysia Network Services PLT is not responsible  for any errors or ommissions arising from the original data or its derivatives
,
Additional Sources,
https://web.facebook.com/terhwakwong/directory_education,
https://web.facebook.com/photo?fbid=112130448106452&set=pb.100079284916392.-2207520000,
https://web.facebook.com/photo.php?fbid=4838195449609049&set=pb.100002559259210.-2207520000&type=3,
https://www.enanyang.my/news/20220308/Nation/419111,
https://web.facebook.com/mcapulaidivision/posts/taniah-kepada-sdr-tan-hiang-kee-ketua-wanita-mca-bahagian-pulaidilantik-sebagai-/793703101289593/?_rdc=1&_rdr#,
https://www.mstar.com.my/lokal/semasa/2014/03/10/wakil-mca-mpjbt,
https://pru.sinarharian.com.my/calon/6514/hahasrin-hashim,
https://www.dqsglobal.com/en/content/download/28898/file/MSPO2_50451817%20MSPO2_EN.pdf,
https://www.sinarharian.com.my/article/229562/berita/politik/guna-logo-traktor-kontraktor-sekali-lagi-cuba-nasib,
https://www.sinchew.com.my/20220306/%E6%9F%94%EF%BC%9A%E3%80%90%E6%88%91%E6%98%AF%E5%80%99%E9%80%89%E4%BA%BA%E3%80%91%E7%8B%AC%E7%AB%8B%E4%BA%BA%E5%A3%AB%E9%9D%9E%E6%9D%A5%E6%90%85%E5%B1%80-%E8%8B%8F%E5%B8%8C%E7%B1%B3/?fbclid=IwY2xjawSTcWdleHRuA2FlbQIxMABicmlkETBuSVJiSzVua3I0anVMVVlqc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHpErjKZD9DhFU2IVFZdVIpykGHYpS43eCkDV2d5JO7D-Xmsc6ry0lQxfAl4K_aem__Y82t8Qv0WaEE-3eukqohQ,
https://www.linkedin.com/in/kanan-mariappan-b9a13726/,
https://prnjohor.com/profil-calon-bn/,
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier)
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Code (2018 - present at the Created Date)
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Name (2018 - present at the Created Date)
STATE CONSTITUENCY CODE,State Constituency (DUN) Code (2018 - present at the Created Date)
STATE CONSTITUENCY NAME,State Constituency (DUN) Name (2018 - present at the created Date)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector count using the Principal Electoral Roll of 2020 combined with Supplementary Rolls of Quarter 1 of 2021 and Quarter of 2022 (which was gazetted on 26/8/2021)
