UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2023)
P.004_N.01,KEDAH,P.004,LANGKAWI,N.01,AYER HANGAT,33156,95.01,1.25,2.6,0.07,0.24,0.13,0.71,98.49,0,1.51,0,7.7,26.4,22.7,17.6,12.9,7.9,3.6,1.1,0.2,50.6,49.4,SEMI URBAN
P.004_N.02,KEDAH,P.004,LANGKAWI,N.02,KUAH,34694,84.47,11.92,2.15,0.04,0.36,0.19,0.87,97.5,0.01,1.36,1.14,7.9,25.6,22.8,17.4,13.6,8.2,3.2,0.9,0.2,51.3,48.7,SEMI URBAN
P.005_N.03,KEDAH,P.005,JERLUN,N.03,KOTA SIPUTEH,29777,91.58,6.85,0.12,0.01,0.04,0.02,1.38,99.95,0,0.05,0,5.7,19.7,21.7,17.8,15.1,11.4,6.2,2.1,0.3,49.3,50.7,RURAL
P.005_N.04,KEDAH,P.005,JERLUN,N.04,AYER HITAM,37819,90.24,6.58,0.1,0.01,0.07,0.03,2.97,99.94,0.01,0.05,0,5.4,18.6,21.3,17.8,15.6,12,6.7,2.1,0.3,49.1,50.9,SEMI URBAN
P.006_N.05,KEDAH,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,46054,89.32,6.59,2.11,0.02,0.29,0.22,1.44,97.49,0,0.79,1.71,6.7,22.5,22.9,17,13.3,10.3,5.6,1.6,0.2,50.2,49.8,SEMI URBAN
P.006_N.06,KEDAH,P.006,KUBANG PASU,N.06,JITRA,63059,83.82,10.09,4.28,0.02,0.1,0.08,1.61,97.75,0.02,0.61,1.62,7.6,25.3,23.4,15.5,12,10,4.6,1.4,0.2,49.3,50.7,SEMI URBAN
P.007_N.07,KEDAH,P.007,PADANG TERAP,N.07,KUALA NERANG,31481,96.77,1.51,0.16,0.02,0.07,0.04,1.43,99.38,0,0.61,0,6.2,22.3,23.6,16.8,13.9,10.6,4.6,1.7,0.3,49.2,50.8,RURAL
P.007_N.08,KEDAH,P.007,PADANG TERAP,N.08,PEDU,28606,85.97,1.09,0.12,0.01,0.06,0.01,12.75,99.93,0,0.07,0,5.9,21.4,23,18.4,14.4,9.5,5.1,2,0.2,48.7,51.3,RURAL
P.008_N.09,KEDAH,P.008,POKOK SENA,N.09,BUKIT LADA,40729,90,7.09,1.87,0.01,0.05,0.03,0.94,99.97,0,0.03,0,6.2,21.9,22.7,17.3,13.9,10.2,5.5,2,0.3,49.5,50.5,RURAL
P.008_N.10,KEDAH,P.008,POKOK SENA,N.10,BUKIT PINANG,36791,93.14,5.34,0.94,0.03,0.12,0.1,0.35,95.94,0.01,0.13,3.92,5.6,20.9,23.5,17.3,13.3,11.1,6,2.1,0.3,49.6,50.4,SEMI URBAN
P.008_N.11,KEDAH,P.008,POKOK SENA,N.11,DERGA,37738,61.27,32.96,4.57,0.02,0.1,0.08,1,97.8,0.04,2.16,0,4.9,19.7,23.2,17,13.4,12.5,6.8,2.3,0.3,49.5,50.5,URBAN
P.009_N.12,KEDAH,P.009,ALOR STAR,N.12,SUKA MENANTI,41957,72.2,23.19,4.02,0.01,0.06,0.05,0.46,99.98,0.02,0,0,5.2,20,23.3,17.8,13.3,11.6,6.4,2,0.3,48.2,51.8,URBAN
P.009_N.13,KEDAH,P.009,ALOR STAR,N.13,KOTA DARUL AMAN,25829,35.57,56.59,6.79,0.01,0.14,0.07,0.82,97.43,0.02,2.55,0,3,12.2,17.5,15.8,15.9,18.6,11.7,3.8,1.5,50.5,49.5,URBAN
P.009_N.14,KEDAH,P.009,ALOR STAR,N.14,ALOR MENGKUDU,38193,72.59,23.81,2.73,0.02,0.07,0.03,0.76,99.99,0.01,0,0,6.3,22.2,23,16.5,13.4,11.1,5.5,1.7,0.3,48.6,51.4,SEMI URBAN
