UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2023)
P.019_N.01,KELANTAN,P.019,TUMPAT,N.01,PENGKALAN KUBOR,36492,92.54,0.9,0.09,0.02,0.04,0.03,6.38,99.7,0,0.3,0,6.5,21.5,22.8,17.1,13.9,10.1,5.1,2.1,0.9,51.2,48.8,SEMI URBAN
P.019_N.02,KELANTAN,P.019,TUMPAT,N.02,KELABORAN,38198,92.48,1.95,0.26,0.03,0.06,0.04,5.17,99.39,0,0.61,0,6.5,22.9,24.3,16.8,13.5,9.8,4.4,1.4,0.5,50.2,49.8,SEMI URBAN
P.019_N.03,KELANTAN,P.019,TUMPAT,N.03,PASIR PEKAN,39119,97.07,2.4,0.1,0.01,0.04,0.02,0.36,99.94,0.03,0.03,0,7.2,24.6,24.8,16.9,12.2,8.8,4.1,1.2,0.2,49.3,50.7,URBAN
P.019_N.04,KELANTAN,P.019,TUMPAT,N.04,WAKAF BHARU,36439,86.78,9.51,0.1,0.02,0.03,0.03,3.54,99.88,0.01,0.11,0,7,22.5,23.2,16.9,13.7,10,4.9,1.6,0.3,49.3,50.7,SEMI URBAN
P.020_N.05,KELANTAN,P.020,PENGKALAN CHEPA,N.05,KIJANG,30405,95.34,2.53,0.07,0.01,0.05,0.02,1.99,99.94,0.01,0.06,0,7.1,24.1,24.4,18.2,12.6,8.4,3.9,1.1,0.3,49.2,50.8,SEMI URBAN
P.020_N.06,KELANTAN,P.020,PENGKALAN CHEPA,N.06,CHEMPAKA,34641,98.6,0.76,0.06,0.01,0.1,0.08,0.38,95.69,0.02,0,4.3,7.1,24.8,26.5,17.1,11.7,8,3.6,0.9,0.2,50.1,49.9,URBAN
P.020_N.07,KELANTAN,P.020,PENGKALAN CHEPA,N.07,PANCHOR,42768,96.73,2.21,0.22,0.05,0.16,0.09,0.55,97.11,0.03,2.86,0,8.3,27,26.2,15.5,11,7.9,3.3,0.8,0.2,49.4,50.6,URBAN
P.021_N.08,KELANTAN,P.021,KOTA BHARU,N.08,TANJONG MAS,45579,90.36,7.7,0.43,0.03,0.06,0.03,1.41,99.98,0.02,0,0,6.4,24.7,27.4,16.4,11.4,8.7,3.9,0.9,0.2,49.4,50.6,URBAN
P.021_N.09,KELANTAN,P.021,KOTA BHARU,N.09,KOTA LAMA,33043,66.18,30.99,1.51,0.01,0.11,0.07,1.13,97.25,0.01,2.74,0,3.6,13.2,18.8,17.7,17.1,16.3,9.3,3,0.9,49.6,50.4,URBAN
P.021_N.10,KELANTAN,P.021,KOTA BHARU,N.10,BUNUT PAYONG,36844,93.77,5.17,0.46,0.01,0.04,0.03,0.52,99.97,0.03,0,0,5.6,21.6,24.4,17.4,13.6,10.4,5.3,1.5,0.3,49,51,URBAN
P.022_N.11,KELANTAN,P.022,PASIR MAS,N.11,TENDONG,31768,97.83,1.6,0.03,0.02,0.04,0.01,0.47,99.96,0,0.04,0,6.7,22.7,23.6,16.8,13.5,9.6,5.1,1.7,0.4,49.3,50.7,SEMI URBAN
P.022_N.12,KELANTAN,P.022,PASIR MAS,N.12,PENGKALAN PASIR,33007,95.3,3.95,0.12,0.01,0.06,0.02,0.54,99.76,0,0.24,0,6,21.1,23.9,17.6,13.6,10.6,5.2,1.7,0.4,49.2,50.8,SEMI URBAN
P.022_N.13,KELANTAN,P.022,PASIR MAS,N.13,MERANTI,29980,98.94,0.11,0.03,0.02,0.04,0.01,0.85,99.87,0.01,0.12,0,6.6,22.8,23.4,16.5,13.4,9.4,5.2,1.9,0.8,49.6,50.4,RURAL
P.023_N.14,KELANTAN,P.023,RANTAU PANJANG,N.14,CHETOK,29111,95.06,4.47,0.04,0.01,0.04,0.03,0.34,99.99,0.01,0,0,6.5,21.8,23.5,17.1,13.5,10.3,5.1,1.7,0.4,48.7,51.3,SEMI URBAN
P.023_N.15,KELANTAN,P.023,RANTAU PANJANG,N.15,GUAL PERIOK,36081,96.98,1.17,0.09,0.02,0.06,0.02,1.66,99.66,0.02,0.2,0.12,6.9,23.1,22.4,16.5,13.8,10,4.6,1.8,0.8,51.6,48.4,SEMI URBAN
P.023_N.16,KELANTAN,P.023,RANTAU PANJANG,N.16,APAM PUTRA,28834,97.83,0.32,0.09,0.01,0.09,0.07,1.59,98.85,0.01,1.14,0,7.3,24.1,23.4,15.8,13.3,9.7,4.5,1.5,0.4,50.2,49.8,SEMI URBAN
P.024_N.17,KELANTAN,P.024,KUBANG KERIAN,N.17,SALOR,36294,98.11,1.46,0.08,0.01,0.04,0.03,0.28,99.99,0.01,0,0,6.5,23,23.7,17.4,13.4,9.3,5,1.5,0.3,48.9,51.1,SEMI URBAN
P.024_N.18,KELANTAN,P.024,KUBANG KERIAN,N.18,PASIR TUMBOH,37498,98.03,1.21,0.12,0.02,0.05,0.06,0.52,99.93,0.02,0.05,0,8.1,26.6,25,15.1,11.5,8.7,3.8,1,0.2,49.2,50.8,SEMI URBAN
P.024_N.19,KELANTAN,P.024,KUBANG KERIAN,N.19,DEMIT,40561,96.04,3.17,0.25,0.02,0.05,0.03,0.44,99.78,0.02,0.2,0,7.5,25.4,26,15.6,11.8,8.5,4,1,0.2,49.2,50.8,URBAN
P.025_N.20,KELANTAN,P.025,BACHOK,N.20,TAWANG,43441,98.76,0.84,0.03,0.02,0.04,0.03,0.28,99.97,0,0.02,0,7.7,24.7,24.8,17.2,12.3,8,4.1,1,0.2,49.1,50.9,SEMI URBAN
P.025_N.21,KELANTAN,P.025,BACHOK,N.21,PANTAI IRAMA,40512,97.43,1.44,0.04,0.02,0.07,0.04,0.96,99.44,0.01,0.55,0,7,23.2,25.1,17.4,13.1,9,4,1,0.2,49.1,50.9,SEMI URBAN
