STATE,COALITION,PARTY/ INDEPENDENTS,FEMALE,MALE,TOTAL CANDIDATES
KEDAH,BN,UMNO,5,10,15
KEDAH,PH,PKR,1,9,10
KEDAH,PH,DAP,,2,2
KEDAH,PH,AMANAH,3,6,9
KEDAH,PN,GERAKAN,,3,3
KEDAH,PN,PAS,2,19,21
KEDAH,PN,PPBM,3,9,12
KEDAH,,PRM,,1,1
KEDAH,,INDEPENDENTS,,10,10
KELANTAN,BN,UMNO,4,27,31
KELANTAN,PH,PKR,1,6,7
KELANTAN,PH,AMANAH,1,6,7
KELANTAN,PN,PAS,2,37,39
KELANTAN,PN,PPBM,,6,6
KELANTAN,,PRM,,1,1
KELANTAN,,INDEPENDENTS,,5,5
TERENGGANU,BN,UMNO,,27,27
TERENGGANU,PH,PKR,1,2,3
TERENGGANU,PH,AMANAH,,2,2
TERENGGANU,PN,PAS,1,26,27
TERENGGANU,PN,PPBM,,5,5
TERENGGANU,,MUDA,,1,1
TERENGGANU,,INDEPENDENTS,,1,1
PULAU PINANG,BN,UMNO,1,5,6
PULAU PINANG,PH,PKR,1,12,13
PULAU PINANG,PH,DAP,4,15,19
PULAU PINANG,PH,AMANAH,,2,2
PULAU PINANG,PN,PAS,,10,10
PULAU PINANG,PN,PPBM,,11,11
PULAU PINANG,PN,GERAKAN,1,18,19
PULAU PINANG,,MUDA,3,,3
PULAU PINANG,,PRM,2,3,5
PULAU PINANG,,PFP,,2,2
PULAU PINANG,,INDEPENDENTS,,5,5
SELANGOR,BN,UMNO,1,11,12
SELANGOR,PH,PKR,3,17,20
SELANGOR,PH,DAP,5,10,15
SELANGOR,PH,AMANAH,2,7,9
SELANGOR,PN,PAS,2,15,17
SELANGOR,PN,PPBM,4,27,31
SELANGOR,PN,GERAKAN,1,7,8
SELANGOR,,MUDA,7,7,14
SELANGOR,,PSM,1,3,4
SELANGOR,,PRM,,6,6
SELANGOR,,PUR,,1,1
SELANGOR,,INDEPENDENTS,1,9,10
NEGERI SEMBILAN,BN,UMNO,1,16,17
NEGERI SEMBILAN,PH,PKR,2,4,6
NEGERI SEMBILAN,PH,DAP,1,10,11
NEGERI SEMBILAN,PH,AMANAH,1,1,2
NEGERI SEMBILAN,PN,PAS,,13,13
NEGERI SEMBILAN,PN,PPBM,1,16,17
NEGERI SEMBILAN,PN,GERAKAN,2,4,6
NEGERI SEMBILAN,,MUDA,,1,1
NEGERI SEMBILAN,,INDEPENDENTS,,10,10
GRAND TOTAL,,,71,499,570
