UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.004_N.01,KEDAH,P.004,LANGKAWI,N.01,AYER HANGAT,PN - PPBM,SHAMSILAH BINTI SIRU,FEMALE,48,
P.004_N.02,KEDAH,P.004,LANGKAWI,N.02,KUAH,PN - PPBM,AMAR PARED BIN MAHMUD,MALE,32,
P.005_N.03,KEDAH,P.005,JERLUN,N.03,KOTA SIPUTEH,PN - PPBM,MOHD ASHRAF MUSTAQIM,MALE,36,
P.005_N.04,KEDAH,P.005,JERLUN,N.04,AYER HITAM,PN - PAS,CIKGU AZHAR,MALE,59,
P.006_N.05,KEDAH,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,PN - PPBM,DATO' HAJAH HALIMATON SHAADIAH SAAD (KAK TON),FEMALE,53,
P.006_N.06,KEDAH,P.006,KUBANG PASU,N.06,JITRA,PN - PAS,DR HAIM HILMAN ABDULLAH (PROF. HAIM),MALE,50,
P.007_N.07,KEDAH,P.007,PADANG TERAP,N.07,KUALA NERANG,PN - PAS,HJ. MUNIR,MALE,59,
P.007_N.08,KEDAH,P.007,PADANG TERAP,N.08,PEDU,PN - PAS,MOHD RADZI BIN MD AMIN,MALE,53,
P.008_N.09,KEDAH,P.008,POKOK SENA,N.09,BUKIT LADA,PN - PAS,USTAZ SALIM MAHMOOD AL-HAFIZ,MALE,45,
P.008_N.10,KEDAH,P.008,POKOK SENA,N.10,BUKIT PINANG,PN - PAS,DATO' WAN ROMANI,MALE,67,
P.008_N.11,KEDAH,P.008,POKOK SENA,N.11,DERGA,PN - PPBM,MUHAMAD AMRI,MALE,40,
P.009_N.12,KEDAH,P.009,ALOR SETAR,N.12,SUKA MENANTI,PN - PPBM,DZOWAHIR BIN AB GHANI,MALE,66,
P.009_N.13,KEDAH,P.009,ALOR SETAR,N.13,KOTA DARUL AMAN,PH - DAP,TEH SWEE LEONG,MALE,34,
P.009_N.14,KEDAH,P.009,ALOR SETAR,N.14,ALOR MENGKUDU,PN - PAS,RADHI MAT DIN,MALE,58,
P.010_N.15,KEDAH,P.010,KUALA KEDAH,N.15,ANAK BUKIT,PN - PAS,RASHIDI BIN RAZAK,MALE,58,
P.010_N.16,KEDAH,P.010,KUALA KEDAH,N.16,KUBANG ROTAN,PN - PPBM,DATO' MOHD SALLEH BIN SAIDIN,MALE,45,
P.010_N.17,KEDAH,P.010,KUALA KEDAH,N.17,PENGKALAN KUNDOR,PN - PAS,MARDHIYYAH JOHARI,FEMALE,35,
P.011_N.18,KEDAH,P.011,PENDANG,N.18,TOKAI,PN - PAS,DATO' DR. MOHD HAYATI,MALE,66,
P.011_N.19,KEDAH,P.011,PENDANG,N.19,SUNGAI TIANG,PN - PPBM,RAZAK KHAMIS,MALE,63,
P.012_N.20,KEDAH,P.012,JERAI,N.20,SUNGAI LIMAU,PN - PAS,USTAZ MOHD AZAM BIN ABD SAMAT,MALE,47,
P.012_N.21,KEDAH,P.012,JERAI,N.21,GUAR CHEMPEDAK,PN - PPBM,ABDUL GHAFAR SAAD,MALE,58,
P.012_N.22,KEDAH,P.012,JERAI,N.22,GURUN,PN - PAS,BADDROL BIN BAKHTIAR,MALE,35,
P.013_N.23,KEDAH,P.013,SIK,N.23,BELANTEK,PN - PAS,HAJI AHMAD SULAIMAN,MALE,63,
P.013_N.24,KEDAH,P.013,SIK,N.24,JENERI,PN - PAS,MUHAMMAD SANUSI BIN MD NOR,MALE,48,
P.014_N.25,KEDAH,P.014,MERBOK,N.25,BUKIT SELAMBAU,PN - PAS,USTAZ AZIZAN BIN HAMZAH,MALE,67,
P.014_N.26,KEDAH,P.014,MERBOK,N.26,TANJONG DAWAI,PN - PAS,USTAZ HANIF BIN GHAZALI,MALE,50,
P.015_N.27,KEDAH,P.015,SUNGAI PETANI,N.27,PANTAI MERDEKA,PN - PAS,USTAZ SHARIR LONG,MALE,68,
P.015_N.28,KEDAH,P.015,SUNGAI PETANI,N.28,BAKAR ARANG,PH - PKR,ADAM LOH,MALE,35,
P.015_N.29,KEDAH,P.015,SUNGAI PETANI,N.29,SIDAM,PH - PKR,BAU WONG,MALE,56,
P.016_N.30,KEDAH,P.016,BALING,N.30,BAYU,PN - PPBM,MOHD TAUFIK BIN YAACOB,MALE,54,
P.016_N.31,KEDAH,P.016,BALING,N.31,KUPANG,PN - PAS,DATO' NAJMI BIN HAJI AHMAD,MALE,72,
P.016_N.32,KEDAH,P.016,BALING,N.32,KUALA KETIL,PN - PAS,MEJ (B) MANSOR BIN ZAKARIA,MALE,54,
P.017_N.33,KEDAH,P.017,PADANG SERAI,N.33,MERBAU PULAS,PN - PAS,DATO' USTAZAH SITI ASHAH,FEMALE,60,
P.017_N.34,KEDAH,P.017,PADANG SERAI,N.34,LUNAS,PN - PPBM,KHAIRUL ANUAR BIN RAMLI,MALE,41,
P.018_N.35,KEDAH,P.018,KULIM-BANDAR BAHARU,N.35,KULIM,PN - GERAKAN,WONG CHIA ZHEN,MALE,38,
P.018_N.36,KEDAH,P.018,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,PN - PAS,PROF. DR. SUFFIAN HAJI YUSOF,MALE,54,
P.019_N.01,KELANTAN,P.019,TUMPAT,N.01,PENGKALAN KUBOR,PN - PAS,USTAZ LAN,MALE,57,
P.019_N.02,KELANTAN,P.019,TUMPAT,N.02,KELABORAN,PN - PAS,CIKGU NAN,MALE,67,
P.019_N.03,KELANTAN,P.019,TUMPAT,N.03,PASIR PEKAN,PN - PAS,DATO' USTAZ MAD,MALE,73,
P.019_N.04,KELANTAN,P.019,TUMPAT,N.04,WAKAF BHARU,PN - PAS,HJ MOHD RUSLI,MALE,52,
P.020_N.05,KELANTAN,P.020,PENGKALAN CHEPA,N.05,KIJANG,PN - PAS,DR. IZANI,MALE,60,
P.020_N.06,KELANTAN,P.020,PENGKALAN CHEPA,N.06,CHEMPAKA,PN - PAS,NIK BAHRUM,MALE,50,
