UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS (GE15 2022),TOTAL ELECTORS (2023),CHANGE IN VOTER COUNT,URBAN-RURAL CLASSIFICATION (2023)
P.092_N. 01,SELANGOR,P.092,SABAK BERNAM,N. 01,SUNGAI AIR TAWAR,19961,20026,65,RURAL
P.092_N. 02,SELANGOR,P.092,SABAK BERNAM,N. 02,SABAK,31648,31816,168,SEMI URBAN
P.093_N. 03,SELANGOR,P.093,SUNGAI BESAR,N. 03,SUNGAI PANJANG,40465,40786,321,SEMI URBAN
P.093_N. 04,SELANGOR,P.093,SUNGAI BESAR,N. 04,SEKINCHAN,23917,23936,19,SEMI URBAN
P.094_N. 05,SELANGOR,P.094,HULU SELANGOR,N. 05,HULU BERNAM,30189,30367,178,RURAL
P.094_N. 06,SELANGOR,P.094,HULU SELANGOR,N. 06,KUALA KUBU BAHARU,39808,40015,207,SEMI URBAN
P.094_N. 07,SELANGOR,P.094,HULU SELANGOR,N. 07,BATANG KALI,84320,86282,1962,SEMI URBAN
P.095_N. 08,SELANGOR,P.095,TANJONG KARANG,N. 08,SUNGAI BURONG,31570,31715,145,RURAL
P.095_N. 09,SELANGOR,P.095,TANJONG KARANG,N. 09,PERMATANG,30624,30796,172,RURAL
P.096_N. 10,SELANGOR,P.096,KUALA SELANGOR,N. 10,BUKIT MELAWATI,37649,37956,307,SEMI URBAN
P.096_N. 11,SELANGOR,P.096,KUALA SELANGOR,N. 11,IJOK,30344,30662,318,SEMI URBAN
P.096_N. 12,SELANGOR,P.096,KUALA SELANGOR,N. 12,JERAM,34958,36707,1749,SEMI URBAN
P.097_N. 13,SELANGOR,P.097,SELAYANG,N. 13,KUANG,44424,45606,1182,SEMI URBAN
P.097_N. 14,SELANGOR,P.097,SELAYANG,N. 14,RAWANG,75145,76841,1696,URBAN
P.097_N. 15,SELANGOR,P.097,SELAYANG,N. 15,TAMAN TEMPLER,61970,62978,1008,URBAN
P.098_N. 16,SELANGOR,P.098,GOMBAK,N. 16,SUNGAI TUA,48640,49055,415,URBAN
P.098_N. 17,SELANGOR,P.098,GOMBAK,N. 17,GOMBAK SETIA,86963,88480,1517,URBAN
P.098_N. 18,SELANGOR,P.098,GOMBAK,N. 18,HULU KELANG,71141,71702,561,URBAN
P.099_N. 19,SELANGOR,P.099,AMPANG,N. 19,BUKIT ANTARABANGSA,68503,69501,998,URBAN
P.099_N. 20,SELANGOR,P.099,AMPANG,N. 20,LEMBAH JAYA,64991,65650,659,URBAN
P.100_N. 21,SELANGOR,P.100,PANDAN,N. 21,PANDAN INDAH,70260,70776,516,URBAN
P.100_N. 22,SELANGOR,P.100,PANDAN,N. 22,TERATAI,78470,79579,1109,URBAN
P.101_N. 23,SELANGOR,P.101,HULU LANGAT,N. 23,DUSUN TUA,73049,74419,1370,URBAN
P.101_N. 24,SELANGOR,P.101,HULU LANGAT,N. 24,SEMENYIH,93853,97300,3447,URBAN
P.102_N. 25,SELANGOR,P.102,BANGI,N. 25,KAJANG,107100,109785,2685,URBAN
P.102_N. 26,SELANGOR,P.102,BANGI,N. 26,SUNGAI RAMAL,94255,97415,3160,URBAN
P.102_N. 27,SELANGOR,P.102,BANGI,N. 27,BALAKONG,102075,104269,2194,URBAN
P.103_N. 28,SELANGOR,P.103,PUCHONG,N. 28,SERI KEMBANGAN,61996,62822,826,URBAN
P.103_N. 29,SELANGOR,P.103,PUCHONG,N. 29,SERI SERDANG,90865,93235,2370,URBAN
P.104_N. 30,SELANGOR,P.104,SUBANG,N. 30,KINRARA,120415,123782,3367,URBAN
P.104_N. 31,SELANGOR,P.104,SUBANG,N. 31,SUBANG JAYA,110525,111970,1445,URBAN
P.105_N. 32,SELANGOR,P.105,PETALING JAYA,N. 32,SERI SETIA,79246,80371,1125,URBAN
