UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS (2023),MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2023)
P.092_N. 01,SELANGOR,P.092,SABAK BERNAM,N. 01,SUNGAI AIR TAWAR,20026,84.36,12.18,2.73,0.01,0.05,0.08,0.59,99.9,0,0.1,0,5.8,19.4,23.1,17.2,14.9,10.5,6.5,2.2,0.4,49.6,50.4,RURAL
P.092_N. 02,SELANGOR,P.092,SABAK BERNAM,N. 02,SABAK,31816,79.57,13.45,6.22,0.02,0.12,0.08,0.53,99.88,0.01,0.1,0.01,6.1,21,23.7,16.7,14.3,10.5,5.7,1.6,0.4,48.9,51.1,SEMI URBAN
P.093_N. 03,SELANGOR,P.093,SUNGAI BESAR,N. 03,SUNGAI PANJANG,40786,81.28,16.07,1.58,0.02,0.14,0.06,0.85,99.27,0,0.73,0,6.4,23.2,24.9,16.5,13.7,9,4.8,1.4,0.3,50,50,SEMI URBAN
P.093_N. 04,SELANGOR,P.093,SUNGAI BESAR,N. 04,SEKINCHAN,23936,43.9,51.65,2.92,0.03,0.31,0.1,1.09,99.9,0.01,0.09,0,4.6,19.5,23.2,18.3,16.1,10.8,5.5,1.8,0.3,51.4,48.6,SEMI URBAN
P.094_N. 05,SELANGOR,P.094,HULU SELANGOR,N. 05,HULU BERNAM,30367,70.13,14.82,13.07,0.69,0.14,0.06,1.11,99.87,0.01,0.12,0,5.7,19.2,22.3,17.9,15.1,10.8,6.4,2.3,0.4,49.2,50.8,RURAL
P.094_N. 06,SELANGOR,P.094,HULU SELANGOR,N. 06,KUALA KUBU BAHARU,40015,46.42,30.65,18.06,2.94,0.29,0.35,1.28,97.97,0,1.39,0.64,6.2,21.5,21.9,16.6,15.4,11.4,5,1.7,0.4,50.1,49.9,SEMI URBAN
P.094_N. 07,SELANGOR,P.094,HULU SELANGOR,N. 07,BATANG KALI,86282,69.01,12.8,14.12,1.72,0.42,0.24,1.68,99.67,0.02,0.32,0,9.5,28.9,20,14.9,14.5,8.5,2.7,0.8,0.2,49.4,50.6,SEMI URBAN
P.095_N. 08,SELANGOR,P.095,TANJONG KARANG,N. 08,SUNGAI BURONG,31715,83.19,12.86,2.54,0.01,0.14,0.05,1.21,99.9,0.01,0.1,0,6,21.6,23.7,18,14.8,9.4,4.9,1.5,0.3,50.4,49.6,RURAL
P.095_N. 09,SELANGOR,P.095,TANJONG KARANG,N. 09,PERMATANG,30796,63.23,21.51,13.81,0.02,0.07,0.04,1.32,99.99,0.01,0,0,6,20.3,22.6,17.8,14.6,11.2,5.4,1.6,0.5,49.9,50.1,RURAL
P.096_N. 10,SELANGOR,P.096,KUALA SELANGOR,N. 10,BUKIT MELAWATI,37956,60.36,15.42,21.91,0.02,0.19,0.09,2.01,99.13,0.01,0.86,0,6.8,23.2,23.5,16.9,13.7,9.9,4.5,1.2,0.3,49.8,50.2,SEMI URBAN
P.096_N. 11,SELANGOR,P.096,KUALA SELANGOR,N. 11,IJOK,30662,61.63,13.18,24.2,0.01,0.14,0.05,0.8,99.92,0,0.08,0,6.4,21.4,22.5,17.9,15.2,10.1,4.8,1.4,0.3,49.2,50.8,SEMI URBAN
P.096_N. 12,SELANGOR,P.096,KUALA SELANGOR,N. 12,JERAM,36707,79.98,6.73,11.72,0.05,0.32,0.16,1.05,99.93,0.01,0.06,0,10.3,28,19.9,16.1,14.1,7.6,2.9,0.8,0.2,49.3,50.7,SEMI URBAN
P.097_N. 13,SELANGOR,P.097,SELAYANG,N. 13,KUANG,45606,76.87,9.9,8.37,0.82,0.39,0.25,3.4,99.93,0,0.07,0,10,28.3,20.7,15.8,13.1,8,3.2,0.7,0.1,49.2,50.8,SEMI URBAN
P.097_N. 14,SELANGOR,P.097,SELAYANG,N. 14,RAWANG,76841,31.92,38.7,25.71,0.04,0.49,0.28,2.86,99.74,0.02,0.14,0.1,8.3,25.8,20.1,16.4,14.4,9.5,4,1.3,0.3,49.8,50.2,URBAN
P.097_N. 15,SELANGOR,P.097,SELAYANG,N. 15,TAMAN TEMPLER,62978,59.17,22.08,14.59,0.15,0.38,0.2,3.44,98.79,0.01,1.2,0,6.8,21.8,23.3,16.9,14.7,11.4,4.1,1,0.1,49.6,50.4,URBAN
P.098_N. 16,SELANGOR,P.098,GOMBAK,N. 16,SUNGAI TUA,49055,57.36,12.44,23.2,0.12,0.31,0.14,6.42,99.68,0.02,0,0.31,6.5,20.6,21.8,18.8,15.2,11.1,4.8,1,0.2,49.7,50.3,URBAN
P.098_N. 17,SELANGOR,P.098,GOMBAK,N. 17,GOMBAK SETIA,88480,67.44,11.76,9.42,1.05,0.23,0.16,9.94,99.82,0.03,0.11,0.04,7.4,23.9,24,16.5,12.7,10.4,4.3,0.8,0.1,49.7,50.3,URBAN
P.098_N. 18,SELANGOR,P.098,GOMBAK,N. 18,HULU KELANG,71702,81.97,8.65,4.03,0.13,0.26,0.14,4.82,99.71,0.06,0.23,0,5.7,19.1,22.3,18.5,14,12.2,6.6,1.4,0.2,49.5,50.5,URBAN
P.099_N. 19,SELANGOR,P.099,AMPANG,N. 19,BUKIT ANTARABANGSA,69501,47.19,40.58,7.25,0.02,0.49,0.28,4.18,99.45,0.05,0.5,0,6.3,20,19.7,17.1,15.9,12.5,6.3,2,0.3,49.1,50.9,URBAN
P.099_N. 20,SELANGOR,P.099,AMPANG,N. 20,LEMBAH JAYA,65650,56.91,22.92,12.11,0.03,0.4,0.21,7.41,99.97,0.03,0,0,6.1,21.6,23.2,17.5,14.4,11.5,4.5,1,0.1,49.4,50.6,URBAN
P.100_N. 21,SELANGOR,P.100,PANDAN,N. 21,PANDAN INDAH,70776,55.18,30.9,7.54,0.03,0.91,0.33,5.1,99.25,0.03,0.73,0,5.2,19.7,23.5,18,15.5,12.3,4.4,1,0.1,49.8,50.2,URBAN
P.100_N. 22,SELANGOR,P.100,PANDAN,N. 22,TERATAI,79579,26.69,61.63,8.17,0.03,0.63,0.28,2.56,99.98,0.02,0,0,5.7,19.6,21.6,18.8,16.3,11.9,4.8,1.2,0.1,48.7,51.3,URBAN
P.101_N. 23,SELANGOR,P.101,HULU LANGAT,N. 23,DUSUN TUA,74419,57.29,28.45,7.54,1.23,0.5,0.31,4.68,96.63,0.02,3.35,0,6.7,23.1,23.1,16.4,14,10.9,4.5,1.2,0.2,50.6,49.4,URBAN
P.101_N. 24,SELANGOR,P.101,HULU LANGAT,N. 24,SEMENYIH,97300,69.1,14.8,12.88,0.64,0.47,0.28,1.83,99.08,0.02,0.9,0,10.3,27.7,20.3,16.2,13.3,8.4,3,0.8,0.1,49.6,50.4,URBAN
P.102_N. 25,SELANGOR,P.102,BANGI,N. 25,KAJANG,109785,39.09,43.44,14.39,0.03,0.56,0.3,2.19,99.2,0.03,0.74,0.03,7.8,24.9,21.8,17.2,13.7,9.6,3.9,1,0.1,49.5,50.5,URBAN
P.102_N. 26,SELANGOR,P.102,BANGI,N. 26,SUNGAI RAMAL,97415,76.56,9.45,9.19,0.05,0.66,0.41,3.67,99.23,0.05,0.12,0.59,9.8,27.4,22.4,16.1,12.7,8.3,2.8,0.4,0.1,49.7,50.3,URBAN
P.102_N. 27,SELANGOR,P.102,BANGI,N. 27,BALAKONG,104269,33.42,55.16,9.2,0.03,0.61,0.33,1.25,99.95,0.02,0.02,0,7.7,24.1,20.8,16.8,14.5,10.5,4.2,1.2,0.1,49.1,50.9,URBAN
P.103_N. 28,SELANGOR,P.103,PUCHONG,N. 28,SERI KEMBANGAN,62822,11.17,78.61,8.81,0.02,0.49,0.24,0.66,99.81,0.01,0.18,0,5.2,18.7,19.8,19,16.4,12.8,6,1.9,0.2,50,50,URBAN
P.103_N. 29,SELANGOR,P.103,PUCHONG,N. 29,SERI SERDANG,93235,55.28,29.47,12.27,0.32,0.82,0.35,1.48,99.75,0.02,0.2,0.04,9.1,25.6,19.2,19.4,14.5,8,3.3,0.7,0.1,50,50,URBAN
P.104_N. 30,SELANGOR,P.104,SUBANG,N. 30,KINRARA,123782,25.28,53.15,19.34,0.04,0.63,0.43,1.13,99.22,0.03,0.63,0.13,8.2,23.4,18.6,18.5,16.8,9.7,3.7,1,0.1,49.7,50.3,URBAN
P.104_N. 31,SELANGOR,P.104,SUBANG,N. 31,SUBANG JAYA,111970,27.44,55.23,13.97,0.02,1.02,0.45,1.86,99.06,0.08,0.86,0,4.5,18.6,21.5,16.4,15.6,15.7,6.2,1.4,0.2,48.9,51.1,URBAN
P.105_N. 32,SELANGOR,P.105,PETALING JAYA,N. 32,SERI SETIA,80371,52.15,20.62,23.44,0.04,1.11,0.48,2.16,95.33,0.03,0.23,4.41,6.1,20.5,22.7,18.5,15.4,10.9,4.5,1.2,0.2,50,50,URBAN
P.105_N. 33,SELANGOR,P.105,PETALING JAYA,N. 33,TAMAN MEDAN,61959,65.09,12.03,19.92,0.01,0.36,0.18,2.41,99.99,0.01,0,0,5.9,19.7,21.4,19.4,15.3,11.3,5.4,1.4,0.3,49.2,50.8,URBAN
P.105_N. 34,SELANGOR,P.105,PETALING JAYA,N. 34,BUKIT GASING,54238,16.98,62.1,17.66,0.06,0.33,0.21,2.66,98.43,0.05,1.52,0,2.8,10.4,13.6,15.4,18.1,18.9,13.3,5.8,1.7,48.4,51.6,URBAN
P.106_N. 35,SELANGOR,P.106,DAMANSARA,N. 35,KAMPUNG TUNKU,58357,15,72.51,10.22,0.01,0.3,0.16,1.8,99.51,0.03,0.46,0,2.9,9.6,13.1,17,18.2,17.9,14.3,6,1,47.6,52.4,URBAN
P.106_N. 36,SELANGOR,P.106,DAMANSARA,N. 36,BANDAR UTAMA,73038,15.07,72.63,8.61,0.01,0.33,0.18,3.19,99.67,0.05,0.28,0,4.5,15.7,18.6,18.4,15.8,15.3,9,2.3,0.4,48.8,51.2,URBAN
P.106_N. 37,SELANGOR,P.106,DAMANSARA,N. 37,BUKIT LANJAN,110583,27.71,58.24,10.78,0.55,0.71,0.33,1.68,99.92,0.04,0.04,0,7.5,23.2,21.1,18.9,14.9,9.3,3.8,1,0.1,49,51,URBAN
P.107_N. 38,SELANGOR,P.107,SUNGAI BULOH,N. 38,PAYA JARAS,72563,66.42,15.54,9.1,0.15,0.41,0.25,8.12,99.14,0.02,0.02,0.81,9.5,27.4,22.5,16.2,12.8,8,2.8,0.6,0.1,50,50,URBAN
P.107_N. 39,SELANGOR,P.107,SUNGAI BULOH,N. 39,KOTA DAMANSARA,90130,60.55,24.69,11.02,0.05,1.1,0.54,2.05,97.58,0.04,0.83,1.55,9.3,26.4,20.2,17.6,14.7,8.1,3,0.7,0.1,50.1,49.9,URBAN
P.108_N. 40,SELANGOR,P.108,SHAH ALAM,N. 40,KOTA ANGGERIK,95104,72.3,17.3,8.48,0.19,0.53,0.35,0.85,97.38,0.06,2.5,0.06,9.4,25.9,21.5,17.1,12.3,9,3.9,0.8,0.1,50.3,49.7,URBAN
P.108_N. 41,SELANGOR,P.108,SHAH ALAM,N. 41,BATU TIGA,75486,74.96,7.47,15.47,0.03,0.56,0.21,1.3,99.99,0.01,0,0,6.2,19.9,22.6,19.2,14.9,12,4.4,0.6,0.1,49.5,50.5,URBAN
P.109_N. 42,SELANGOR,P.109,KAPAR,N. 42,MERU,65801,57.17,16.74,24.48,0.03,0.38,0.18,1.02,98.97,0.01,1.02,0,8.8,27.3,22,17,13.5,7.8,2.9,0.6,0.1,49.4,50.6,URBAN
P.109_N. 43,SELANGOR,P.109,KAPAR,N. 43,SEMENTA,68969,74.49,13.33,10.15,0.02,0.26,0.13,1.62,99.99,0.01,0,0,8.5,25.9,22,17,14,8.4,3.4,0.8,0.1,50.1,49.9,URBAN
P.109_N. 44,SELANGOR,P.109,KAPAR,N. 44,SELAT KLANG,57613,73.99,15.05,6.78,0.18,0.97,0.14,2.9,99.94,0.01,0.05,0,7,22.5,21.8,17.5,15.2,10.3,4.5,1,0.2,49.7,50.3,URBAN
P.110_N. 45,SELANGOR,P.110,KLANG,N. 45,BANDAR BARU KLANG,82826,16.02,67.65,15.18,0.01,0.27,0.1,0.77,99.97,0.03,0,0,5,18.2,19.3,18.3,15.7,13.9,7.1,2.1,0.4,49.3,50.7,URBAN
P.110_N. 46,SELANGOR,P.110,KLANG,N. 46,PELABUHAN KLANG,51907,61.96,18.07,16.39,0.39,0.9,0.31,1.98,98.94,0.01,0.25,0.8,8.1,23.3,20.5,19.1,14.7,9.2,4,1,0.2,50.5,49.5,URBAN
P.110_N. 47,SELANGOR,P.110,KLANG,N. 47,PANDAMARAN,75777,15.37,59.26,22.81,0.02,1.04,0.22,1.29,98.97,0.02,1.01,0,4.3,15.1,18,18.2,17.1,15.4,8.7,2.6,0.7,49.9,50.1,URBAN
P.111_N. 48,SELANGOR,P.111,KOTA RAJA,N. 48,SENTOSA,90270,15.1,41.02,41.08,0.02,1.61,0.22,0.95,99.97,0.03,0,0,8.5,25.8,22.6,18.2,13.1,7.9,3.2,0.7,0.1,48.7,51.3,URBAN
P.111_N. 49,SELANGOR,P.111,KOTA RAJA,N. 49,SUNGAI KANDIS,78605,69.05,12.98,15.17,0.04,0.69,0.21,1.86,99.97,0.03,0,0,9,25.1,22,17.6,13.1,8.8,3.5,0.7,0.2,49.2,50.8,URBAN
P.111_N. 50,SELANGOR,P.111,KOTA RAJA,N. 50,KOTA KEMUNING,81946,39.92,33.37,23.12,0.04,1.57,0.48,1.5,99.9,0.05,0.05,0,9.5,25.9,18.9,17.5,15.5,8.8,3.1,0.7,0.1,50.1,49.9,URBAN
P.112_N. 51,SELANGOR,P.112,KUALA LANGAT,N. 51,SIJANGKANG,62907,71.28,7.98,14.34,3.98,0.51,0.15,1.77,99.95,0.01,0.04,0,8.9,25.1,21.9,18.2,13.3,8.1,3.3,0.9,0.3,49.5,50.5,SEMI URBAN
P.112_N. 52,SELANGOR,P.112,KUALA LANGAT,N. 52,BANTING,44972,18.11,57.41,22.49,0.61,0.49,0.09,0.8,99.91,0.01,0.08,0,6.3,20.3,22.2,19.1,14.4,11.2,4.8,1.5,0.2,49.8,50.2,SEMI URBAN
P.112_N. 53,SELANGOR,P.112,KUALA LANGAT,N. 53,MORIB,43828,71.12,10.64,15.44,0.58,0.29,0.2,1.73,97.64,0,0.83,1.53,7.1,23.7,23.9,16.9,13,9.7,4.3,1.3,0.2,50,50,SEMI URBAN
P.113_N. 54,SELANGOR,P.113,SEPANG,N. 54,TANJONG SEPAT,32312,57.85,26.2,11.71,3.37,0.12,0.03,0.71,99.99,0.01,0,0,6,21.2,21.7,17.6,15.4,10.8,5.1,1.8,0.3,50.3,49.7,SEMI URBAN
P.113_N. 55,SELANGOR,P.113,SEPANG,N. 55,DENGKIL,93931,69.04,14.6,10.68,2.6,0.84,0.42,1.82,99.74,0.04,0.22,0,10.7,26.7,20.9,18.2,12.5,7.2,2.9,0.8,0.2,50,50,SEMI URBAN
P.113_N. 56,SELANGOR,P.113,SEPANG,N. 56,SUNGAI PELEK,47335,56.9,22.56,17.59,0.12,0.86,0.48,1.49,96.6,0.03,3.37,0,7.9,23.9,22.3,17.1,13.8,9.6,3.8,1.2,0.2,50.6,49.4,SEMI URBAN
