UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2023)
P.033_N.01,TERENGGANU,P.033,BESUT,N.01,KUALA BESUT,26992,98.52,0.56,0.09,0.03,0.16,0.14,0.5,94.9,0,0.09,5,6.97,24.99,26.16,17.93,12.09,7.34,3.62,0.74,0.17,51,49,SEMI URBAN
P.033_N.02,TERENGGANU,P.033,BESUT,N.02,KOTA PUTERA,32792,98.73,0.51,0.05,0.02,0.06,0.05,0.59,99.15,0,0.81,0.03,7.91,25.97,25.68,16.46,11.76,7.9,3.3,0.86,0.16,49.8,50.2,SEMI URBAN
P.033_N.03,TERENGGANU,P.033,BESUT,N.03,JERTIH,29088,94.19,3.24,0.14,0.01,0.07,0.04,0.45,99.78,0.02,0.21,0,6.95,23.83,25.3,17.42,12.64,8.76,3.85,1.11,0.15,49,51,SEMI URBAN
P.033_N.04,TERENGGANU,P.033,BESUT,N.04,HULU BESUT,23846,98.74,0.79,0.04,0.09,0.07,0.01,0.26,99.92,0.01,0.07,0,6.7,23.52,26.52,17.19,12.39,8.45,4.03,1.03,0.18,49.7,50.3,RURAL
P.034_N.05,TERENGGANU,P.034,SETIU,N.05,JABI,25192,99.04,0.37,0.04,0.02,0.11,0.03,0.4,100,0,0,0,6.84,24.49,25.38,18.24,12.62,7.75,3.54,0.94,0.21,49.6,50.4,RURAL
P.034_N.06,TERENGGANU,P.034,SETIU,N.06,PERMAISURI,30739,99.1,0.4,0.03,0.02,0.08,0.06,0.31,99.27,0.01,0.66,0.07,7.16,26.03,26.26,17.35,11.67,7.52,2.96,0.89,0.15,49.8,50.2,RURAL
P.034_N.07,TERENGGANU,P.034,SETIU,N.07,LANGKAP,22439,99.3,0.04,0.03,0.02,0.1,0.06,0.45,99.92,0,0.08,0,6.66,22.86,26.21,19.12,11.81,7.54,4.35,1.25,0.2,49.9,50.1,RURAL
P.034_N.08,TERENGGANU,P.034,SETIU,N.08,BATU RAKIT,29919,99.4,0.23,0.04,0.02,0.1,0.07,0.14,99.82,0,0.18,0,6.64,23.01,26.66,17.8,12.24,8.85,3.66,0.98,0.14,49.3,50.7,SEMI URBAN
P.035_N.09,TERENGGANU,P.035,KUALA NERUS,N.09,TEPUH,30448,98.68,0.66,0.05,0.01,0.06,0.04,0.51,99.98,0,0.01,0,7.8,25.39,26.68,16.44,11.61,7.74,3.3,0.96,0.08,49.4,50.6,SEMI URBAN
P.035_N.10,TERENGGANU,P.035,KUALA NERUS,N.10,BULUH GADING,27845,98.15,1.56,0.05,0.01,0.05,0.03,0.15,100,0,0,0,6.75,22.96,26.09,18.14,12.46,8.49,3.81,1.16,0.13,49.6,50.4,SEMI URBAN
P.035_N.11,TERENGGANU,P.035,KUALA NERUS,N.11,SEBERANG TAKIR,27733,98.97,0.23,0.11,0.03,0.24,0.17,0.25,94.37,0.02,2.73,2.88,7.71,27.6,26.74,15.72,10.76,7.84,2.9,0.65,0.08,51,49,URBAN
