UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,BLACKWAVE,BLACKWAVE CANDIDATE,BLACKWAVE CANDIDATE SEX,BLACKWAVE CANDIDATE AGE
P. 167_N. 01,SABAH,P. 167,KUDAT,N. 01,BANGGI,INDEPENDENT - KEY,NASIB BIN SAMODI @ SAMNURI,MALE,48
P. 167_N. 02,SABAH,P. 167,KUDAT,N. 02,BENGKOKA,INDEPENDENT - KEY,JOMIN BIN MOGOMPIT,MALE,57
P. 167_N. 03,SABAH,P. 167,KUDAT,N. 03,PITAS,,,,
P. 167_N. 04,SABAH,P. 167,KUDAT,N. 04,TANJONG KAPOR,,,,
P. 168_N. 05,SABAH,P. 168,KOTA MARUDU,N. 05,MATUNGGONG,,,,
P. 168_N. 06,SABAH,P. 168,KOTA MARUDU,N. 06,BANDAU,,,,
P. 168_N. 07,SABAH,P. 168,KOTA MARUDU,N. 07,TANDEK,,,,
P. 169_N. 08,SABAH,P. 169,KOTA BELUD,N. 08,PINTASAN,INDEPENDENT - ELEPHANT,MOHD RIZAL BIN SAIMAN,MALE,44
P. 169_N. 09,SABAH,P. 169,KOTA BELUD,N. 09,TEMPASUK,,,,
P. 169_N. 10,SABAH,P. 169,KOTA BELUD,N. 10,USUKAN,,,,
P. 169_N. 11,SABAH,P. 169,KOTA BELUD,N. 11,KADAMAIAN,,,,
P. 170_N. 12,SABAH,P. 170,TUARAN,N. 12,SULAMAN,,,,
P. 170_N. 13,SABAH,P. 170,TUARAN,N. 13,PANTAI DALIT,,,,
P. 170_N. 14,SABAH,P. 170,TUARAN,N. 14,TAMPARULI,INDEPENDENT - KEY,RAYMOND ALFRED,MALE,54
P. 170_N. 15,SABAH,P. 170,TUARAN,N. 15,KIULU,,,,
P. 171_N. 16,SABAH,P. 171,SEPANGGAR,N. 16,KARAMBUNAI,,,,
P. 171_N. 17,SABAH,P. 171,SEPANGGAR,N. 17,DARAU,,,,
P. 171_N. 18,SABAH,P. 171,SEPANGGAR,N. 18,INANAM,INDEPENDENT - KEY,SHONE ERIC JR. MAJIMBUN,MALE,45
P. 172_N. 19,SABAH,P. 172,KOTA KINABALU,N. 19,LIKAS,,,,
P. 172_N. 20,SABAH,P. 172,KOTA KINABALU,N. 20,API-API,,,,
P. 172_N. 21,SABAH,P. 172,KOTA KINABALU,N. 21,LUYANG,,,,
P. 173_N. 22,SABAH,P. 173,PUTATAN,N. 22,TANJUNG ARU,INDEPENDENT - KEY,MOHAMED ZAIM BIN ANSAWI,MALE,41
P. 173_N. 23,SABAH,P. 173,PUTATAN,N. 23,PETAGAS,,,,
P. 173_N. 24,SABAH,P. 173,PUTATAN,N. 24,TANJUNG KERAMAT,,,,
P. 174_N. 25,SABAH,P. 174,PENAMPANG,N. 25,KAPAYAN,INDEPENDENT - HORSE,CYRIL GERALD LIEW,MALE,53
P. 174_N. 26,SABAH,P. 174,PENAMPANG,N. 26,MOYOG,INDEPENDENT - HORSE,RICKY CHANG,MALE,54
P. 175_N. 27,SABAH,P. 175,PAPAR,N. 27,LIMBAHAU,INDEPENDENT - KEY,MARCELLUS BIN TAMBUD,MALE,61
P. 175_N. 28,SABAH,P. 175,PAPAR,N. 28,KAWANG,,,,
P. 175_N. 29,SABAH,P. 175,PAPAR,N. 29,PANTAI MANIS,,,,
P. 176_N. 30,SABAH,P. 176,KIMANIS,N. 30,BONGAWAN,,,,
P. 176_N. 31,SABAH,P. 176,KIMANIS,N. 31,MEMBAKUT,INDEPENDENT - KEY,HASLAN BIN WASLI,MALE,47
P. 177_N. 32,SABAH,P. 177,BEAUFORT,N. 32,KLIAS,,,,
P. 177_N. 33,SABAH,P. 177,BEAUFORT,N. 33,KUALA PENYU,,,,
P. 178_N. 34,SABAH,P. 178,SIPITANG,N. 34,LUMADAN,,,,
P. 178_N. 35,SABAH,P. 178,SIPITANG,N. 35,SINDUMIN,,,,
P. 179_N. 36,SABAH,P. 179,RANAU,N. 36,KUNDASANG,,,,
P. 179_N. 37,SABAH,P. 179,RANAU,N. 37,KARANAAN,,,,
P. 179_N. 38,SABAH,P. 179,RANAU,N. 38,PAGINATAN,,,,
P. 180_N. 39,SABAH,P. 180,KENINGAU,N. 39,TAMBUNAN,,,,
P. 180_N. 40,SABAH,P. 180,KENINGAU,N. 40,BINGKOR,,,,
P. 180_N. 41,SABAH,P. 180,KENINGAU,N. 41,LIAWAN,,,,
P. 181_N. 42,SABAH,P. 181,TENOM,N. 42,MELALAP,INDEPENDENT - ELEPHANT,GABRIEL GEORGE TULAS,MALE,40
P. 181_N. 43,SABAH,P. 181,TENOM,N. 43,KEMABONG,INDEPENDENT - RING,PETRUS BIN YAHYA,MALE,45
P. 182_N. 44,SABAH,P. 182,PENSIANGAN,N. 44,TULID,,,,
P. 182_N. 45,SABAH,P. 182,PENSIANGAN,N. 45,SOOK,,,,
P. 182_N. 46,SABAH,P. 182,PENSIANGAN,N. 46,NABAWAN,,,,
P. 183_N. 47,SABAH,P. 183,BELURAN,N. 47,TELUPID,,,,
P. 183_N. 48,SABAH,P. 183,BELURAN,N. 48,SUGUT,INDEPENDENT - KEY,ROGER BIN LANGGAU,MALE,51
P. 183_N. 49,SABAH,P. 183,BELURAN,N. 49,LABUK,,,,
P. 184_N. 50,SABAH,P. 184,LIBARAN,N. 50,GUM-GUM,INDEPENDENT - HORSE,YUSUF YODA,MALE,33
P. 184_N. 51,SABAH,P. 184,LIBARAN,N. 51,SUNGAI MANILA,,,,
P. 184_N. 52,SABAH,P. 184,LIBARAN,N. 52,SUNGAI SIBUGA,,,,
P. 185_N. 53,SABAH,P. 185,BATU SAPI,N. 53,SEKONG,,,,
P. 185_N. 54,SABAH,P. 185,BATU SAPI,N. 54,KARAMUNTING,,,,
P. 186_N. 55,SABAH,P. 186,SANDAKAN,N. 55,ELOPURA,,,,
P. 186_N. 56,SABAH,P. 186,SANDAKAN,N. 56,TANJONG PAPAT,,,,
P. 187_N. 57,SABAH,P. 187,KINABATANGAN,N. 57,KUAMUT,,,,
P. 187_N. 58,SABAH,P. 187,KINABATANGAN,N. 58,LAMAG,,,,
P. 187_N. 59,SABAH,P. 187,KINABATANGAN,N. 59,SUKAU,,,,
P. 188_N. 60,SABAH,P. 188,LAHAD DATU,N. 60,TUNGKU,,,,
P. 188_N. 61,SABAH,P. 188,LAHAD DATU,N. 61,SEGAMA,,,,
P. 188_N. 62,SABAH,P. 188,LAHAD DATU,N. 62,SILAM,,,,
P. 188_N. 63,SABAH,P. 188,LAHAD DATU,N. 63,KUNAK,,,,
P. 189_N. 64,SABAH,P. 189,SEMPORNA,N. 64,SULABAYAN,,,,
P. 189_N. 65,SABAH,P. 189,SEMPORNA,N. 65,SENALLANG,,,,
P. 189_N. 66,SABAH,P. 189,SEMPORNA,N. 66,BUGAYA,,,,
P. 190_N. 67,SABAH,P. 190,TAWAU,N. 67,BALUNG,INDEPENDENT - KEY,HARTONO BIN MUHAMAD JUNO,MALE,45
