UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,NUMBER OF CANDIDATES,UNCONTESTED VICTORY,TOTAL ELECTORS,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,GRS,GRS CANDIDATE,GRS CANDIDATE SEX,GRS CANDIDATE AGE,GRS VOTE,GRS CANDIDATE LOST DEPOSIT,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,PN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN VOTE,WARISAN CANDIDATE LOST DEPOSIT,PIS,PIS CANDIDATE,PIS CANDIDATE SEX,PIS CANDIDATE AGE,PIS VOTE,PIS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,OTHER PARTY (4),OTHER PARTY (4) CANDIDATE,OTHER PARTY (4) CANDIDATE SEX,OTHER PARTY (4) CANDIDATE AGE,OTHER PARTY (4) VOTE,OTHER PARTY (4) CANDIDATE LOST DEPOSIT,OTHER PARTY (5),OTHER PARTY (5) CANDIDATE,OTHER PARTY (5) CANDIDATE SEX,OTHER PARTY (5) CANDIDATE AGE,OTHER PARTY (5) VOTE,OTHER PARTY (5) CANDIDATE LOST DEPOSIT,OTHER PARTY (6),OTHER PARTY (6) CANDIDATE,OTHER PARTY (6) CANDIDATE SEX,OTHER PARTY (6) CANDIDATE AGE,OTHER PARTY (6) VOTE,OTHER PARTY (6) CANDIDATE LOST DEPOSIT,OTHER PARTY (7),OTHER PARTY (7) CANDIDATE,OTHER PARTY (7) CANDIDATE SEX,OTHER PARTY (7) CANDIDATE AGE,OTHER PARTY (7) VOTE,OTHER PARTY (7) CANDIDATE LOST DEPOSIT,OTHER PARTY (8),OTHER PARTY (8) CANDIDATE,OTHER PARTY (8) CANDIDATE SEX,OTHER PARTY (8) CANDIDATE AGE,OTHER PARTY (8) VOTE,OTHER PARTY (8) CANDIDATE LOST DEPOSIT,OTHER PARTY (9),OTHER PARTY (9) CANDIDATE,OTHER PARTY (9) CANDIDATE SEX,OTHER PARTY (9) CANDIDATE AGE,OTHER PARTY (9) VOTE,OTHER PARTY (9) CANDIDATE LOST DEPOSIT,OTHER PARTY (10),OTHER PARTY (10) CANDIDATE,OTHER PARTY (10) CANDIDATE SEX,OTHER PARTY (10) CANDIDATE AGE,OTHER PARTY (10) VOTE,OTHER PARTY (10) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPENDENT (5) CANDIDATE,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT,INDEPENDENT (6),INDEPENDENT (6) CANDIDATE,INDEPENDENT (6) CANDIDATE SEX,INDEPENDENT (6) CANDIDATE AGE,INDEPENDENT (6) VOTE,INDEPENDENT (6) CANDIDATE LOST DEPOSIT
P. 167_N. 01,SABAH,P. 167,KUDAT,N. 01,BANGGI,GRS - PGRS,12,,9484,1306,,,,162,5544,PGRS,DATUK MOHAMMAD BIN MOHAMARIN,MALE,44,2484,,UMNO,NORMALAH RASIK,FEMALE,45,470,LOST DEPOSIT,PPBM,RAHIMAH MAJID,FEMALE,47,296,LOST DEPOSIT,,,,,,,WARISAN,ZAINAL BIN ROMIO,MALE,53,1178,,PIS,AMONG BIN TIMBUL,MALE,43,371,LOST DEPOSIT,STAR,SALBIN BIN MUKSIN,MALE,60,70,LOST DEPOSIT,PKAN,DATU RAZAK DATU SALAM,MALE,61,28,LOST DEPOSIT,PBK,HALMAN BIN MANIUK,MALE,50,6,LOST DEPOSIT,,,,,,,,,,,,,PKS,DR. AZLAN @ RAYMON BIN MAJUMAH,MALE,57,26,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,NASIB BIN SAMODI @ SAMNURI,MALE,48,561,LOST DEPOSIT,INDEPENDENT - MANGOSTEEN,SAKINOLIN MOHAMAD,FEMALE,62,25,LOST DEPOSIT,INDEPENDENT - SHIRT,HUSSIN @ TALIYASIN BIN MASUDDIN,MALE,56,29,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 167_N. 02,SABAH,P. 167,KUDAT,N. 02,BENGKOKA,BN - UMNO,11,,18056,77,,,,,11856,PBS,DR. SAMUIL BIN MOPUN,MALE,60,2408,,UMNO,HARUN BIN DURABI,MALE,62,2485,,PPBM,BERUSLI BIN KIMIN,MALE,50,310,LOST DEPOSIT,,,,,,,WARISAN,FAUZIAH BINTI MOHD. FUAD STEPHENS,FEMALE,67,1290,LOST DEPOSIT,PIS,MATIN BIN UGUNG,MALE,59,183,LOST DEPOSIT,STAR,MAKLIN MASIAU,MALE,53,1899,,,,,,,,PBK,GUNSANAD BIN MALINGKA,MALE,62,26,LOST DEPOSIT,KDM,RAHIM @ RICHARD BIN MAZAGI,MALE,62,1528,,UPKO,JUNSIM BIN RUMUNZING,MALE,55,622,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,JOMIN BIN MOGOMPIT,MALE,57,1084,LOST DEPOSIT,INDEPENDENT - PRAWN,KPD ODING,MALE,46,21,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 167_N. 03,SABAH,P. 167,KUDAT,N. 03,PITAS,GRS - PGRS,6,,17574,1565,,,,233,12096,PGRS,RUDDY AWAH,MALE,56,5754,,UMNO,BOLKIAH BIN ISMAIL,MALE,60,1331,LOST DEPOSIT,,,,,,,,,,,,,WARISAN,HARUN BIN ISMAIL,MALE,65,4189,,PIS,KINCHIN BIN BOLUOT,MALE,65,425,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,KDM,ABD HAMID BIN KIMIN,MALE,52,266,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,NAZRI SANTONG,MALE,35,131,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 167_N. 04,SABAH,P. 167,KUDAT,N. 04,TANJONG KAPOR,GRS - PGRS,11,,34001,359,,,,414,20441,PGRS,BEN CHONG,MALE,47,6171,,MCA,KEVIN LEE SIP KIM,MALE,64,1455,LOST DEPOSIT,PPBM,MUHAMMAD AFFAN BIN JUMAHAT,MALE,38,1262,LOST DEPOSIT,,,,,,,WARISAN,TERENCE AU SOON FUI,MALE,42,4737,,PIS,JETOL BIN DANGIN,MALE,60,184,LOST DEPOSIT,STAR,SHAWN DAVEY LEE,MALE,48,434,LOST DEPOSIT,PKAN,AWANG KARIM BIN ABDUL KADIR,MALE,61,63,LOST DEPOSIT,PBK,A HALIM @ ABDUL HALIM BIN YUSSOF,MALE,55,166,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,SPP,BONNY BIN BERMAN,MALE,43,52,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,VERDON BIN BAHANDA,MALE,52,5812,,INDEPENDENT - CLOCK,ABDUL RAHIM BIN MADTAIP,MALE,60,105,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 168_N. 05,SABAH,P. 168,KOTA MARUDU,N. 05,MATUNGGONG,GRS - PBS,6,,29176,334,,,,220,19249,PBS,JULITA MAJUNGKI,FEMALE,54,9096,,,,,,,,,,,,,,,,,,,,WARISAN,JORNAH BINTI MOZIHIM,FEMALE,62,1138,LOST DEPOSIT,PIS,J.OJILIM BIN ASAM,MALE,70,133,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,KDM,DATUK WETROM BAHANDA,MALE,55,8762,,,,,,,,PKS,FREDDY CHONG YEE VUI,MALE,37,45,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,AININ BIN EKON,MALE,46,75,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 168_N. 06,SABAH,P. 168,KOTA MARUDU,N. 06,BANDAU,INDEPENDENT - CHAIR,13,,27390,244,,,,380,17542,PGRS,REDONAH BAHANDA,FEMALE,49,3752,,UMNO,WILLEY LAMPAKI,MALE,58,380,LOST DEPOSIT,,,,,,,PKR,ZAIDI JATIL,MALE,29,2631,,WARISAN,RIZHAM BIN ABD RAHMAN,MALE,44,1613,LOST DEPOSIT,PIS,SAUTING BIN RABUYOT,MALE,48,97,LOST DEPOSIT,STAR,SHIREWIN D. PATRICK,MALE,46,1189,LOST DEPOSIT,,,,,,,PBK,ROBBIN BIN BANATI,MALE,58,28,LOST DEPOSIT,KDM,JAIPING MINSU,MALE,56,2471,,UPKO,SUZIE SALAPAN,FEMALE,40,859,LOST DEPOSIT,PKS,SITTI HAIMA BINTI JAILANI,FEMALE,55,24,LOST DEPOSIT,ASPIRASI,NORMAN BIN TULANG,MALE,61,30,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,JOLIUS MAJAWAI,MALE,55,472,LOST DEPOSIT,INDEPENDENT - CHAIR,DATUK DR MAIJOL MAHAP,MALE,65,3996,,,,,,,,,,,,,,,,,,,,,,,,,
P. 168_N. 07,SABAH,P. 168,KOTA MARUDU,N. 07,TANDEK,GRS - PBS,8,,29244,3026,,,,328,17511,PBS,HENDRUS ANDING,MALE,55,7554,,,,,,,,,,,,,,,,,,,,WARISAN,DATUK JILID@ZAINUDDIN BIN KUMINDING,MALE,63,1674,LOST DEPOSIT,PIS,ABEL PANGAIR,MALE,63,235,LOST DEPOSIT,STAR,DATUK ARLINSIA AGANG,FEMALE,44,4528,,,,,,,,PBK,JAMES GANTUKOK,MALE,45,78,LOST DEPOSIT,KDM,BENSON BIN TUYUNDO,MALE,58,2893,,UPKO,JAMIL BIN MAJINGKIN,MALE,50,417,LOST DEPOSIT,PKS,DATO' ZAMAN BIN HJ. BAYANG,MALE,69,132,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 169_N. 08,SABAH,P. 169,KOTA BELUD,N. 08,PINTASAN,INDEPENDENT - BOOK,11,,15896,1070,,,,139,11891,USNO,PANDIKAR AMIN BIN MULIA,MALE,70,3605,,UMNO,TADZUL BIN RADIM,MALE,53,1024,LOST DEPOSIT,PPBM,AWANG SALEH BIN MAKMUD,MALE,49,196,LOST DEPOSIT,,,,,,,WARISAN,ABDULLAH BIN OTONG,MALE,55,1167,LOST DEPOSIT,PIS,LOMOG BIN RUDIN @ EFEJUS BIN RUDIN,MALE,58,75,LOST DEPOSIT,STAR,RAPLIN BIN SAMAT,MALE,45,210,LOST DEPOSIT,,,,,,,,,,,,,KDM,DATUK ALMUDIN BIN KAIDA,MALE,62,365,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,TAJUDDIN BIN PADIS,MALE,60,356,LOST DEPOSIT,INDEPENDENT - PEN,SYARIF MOHD SHUKREE BIN DANCHINGAN,MALE,40,102,LOST DEPOSIT,INDEPENDENT - BOOK,FAIRUZ RENDDAN,MALE,41,4675,,INDEPENDENT - ELEPHANT,MOHD RIZAL BIN SAIMAN,MALE,44,116,LOST DEPOSIT,,,,,,,,,,,,
P. 169_N. 09,SABAH,P. 169,KOTA BELUD,N. 09,TEMPASUK,GRS - PGRS,7,,17116,1821,,,,139,12350,PGRS,MOHD ARSAD BIN BISTARI,MALE,50,4914,,UMNO,AZUWAN BIN MARJAN@NORJAN,MALE,40,3093,,,,,,,,,,,,,,WARISAN,MOHD KHIDIR LAMSIL,MALE,35,2392,,PIS,TIMUTI MAJITOL,MALE,35,117,LOST DEPOSIT,STAR,WALTER MARK MUKIS,MALE,44,1275,LOST DEPOSIT,,,,,,,,,,,,,KDM,JOHN SAMUD,MALE,56,369,LOST DEPOSIT,,,,,,,PKS,DR. RIMIN BIN MAUN,MALE,62,190,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 169_N. 10,SABAH,P. 169,KOTA BELUD,N. 10,USUKAN,WARISAN,6,,24235,442,,,,217,17649,PGRS,DATUK JAPLIN BIN HJ. AKIM,MALE,58,5179,,UMNO,SALLEH SAID KERUAK,MALE,68,5850,,,,,,,,,,,,,,WARISAN,MUNIRAH MAJILIS,FEMALE,43,6292,,PIS,JEFRIS BIN MUADIS,MALE,49,97,LOST DEPOSIT,STAR,LIN BIN HARUN,MALE,67,179,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOUSE,AJUN BIN MELIYON,MALE,70,52,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
