UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,MALAY,BRUNEI,KEDAYAN,CHINESE,KADAZAN,DUSUN,RUNGUS,MURUT,BAJAU,SULUK,SUNGEI,IDAHAN,UBIAN,BUGIS,IRANUN,TAMBANUO,LUNDAYEH,TIDUNG,SINO NATIVE,UNCLASSIFIED BUMI SABAH,BUMI SARAWAK,FILIPINOS,INDIA
P. 167_N. 01,SABAH,P. 167,KUDAT,N. 01,BANGGI,,,,,,,,,,,,,,,,,,,,,,,
P. 167_N. 02,SABAH,P. 167,KUDAT,N. 02,BENGKOKA,,,,,,,,,,,,,,,,,,,,,,,
P. 167_N. 03,SABAH,P. 167,KUDAT,N. 03,PITAS,,,,,,,,,,,,,,,,,,,,,,,
P. 167_N. 04,SABAH,P. 167,KUDAT,N. 04,TANJONG KAPOR,3.7,1.9,,18.4,3.4,,18.6,,16,5.6,5.1,,13.7,,,,,,,2.7,,,
P. 168_N. 05,SABAH,P. 168,KOTA MARUDU,N. 05,MATUNGGONG,,,,4.1,6,5.2,67.1,,7,,,,1.5,,,,,,1.2,,,,
P. 168_N. 06,SABAH,P. 168,KOTA MARUDU,N. 06,BANDAU,2.8,,,7,17.1,34.7,6.7,,19.7,,,,,1.9,,,,,,1.1,,,
P. 168_N. 07,SABAH,P. 168,KOTA MARUDU,N. 07,TANDEK,,,,,,,,,,,,,,,,,,,,,,,
P. 169_N. 08,SABAH,P. 169,KOTA BELUD,N. 08,PINTASAN,,,,4.4,7.3,20.1,,,15.7,,,,4.1,,40.3,,,,,,,,
P. 169_N. 09,SABAH,P. 169,KOTA BELUD,N. 09,TEMPASUK,,,,,,,,,,,,,,,,,,,,,,,
P. 169_N. 10,SABAH,P. 169,KOTA BELUD,N. 10,USUKAN,3.4,,,7.6,3.4,3.4,,,67.9,,,,2.5,,,,,,,1.2,,,
P. 169_N. 11,SABAH,P. 169,KOTA BELUD,N. 11,KADAMAIAN,,,,2.7,31.5,58.5,,,2.8,,,,,,,,,,,,,,
P. 170_N. 12,SABAH,P. 170,TUARAN,N. 12,SULAMAN,5,,,7.4,6.3,11.6,,,53.6,,,,1.9,2.8,,,,,,2.4,,,
P. 170_N. 13,SABAH,P. 170,TUARAN,N. 13,PANTAI DALIT,,,,,,,,,,,,,,,,,,,,,,,
P. 170_N. 14,SABAH,P. 170,TUARAN,N. 14,TAMPARULI,1.8,,,7.9,21.2,47.9,,,11,,,,,,,,,,4.6,0.6,,,
P. 170_N. 15,SABAH,P. 170,TUARAN,N. 15,KIULU,,,,,,,,,,,,,,,,,,,,,,,
P. 171_N. 16,SABAH,P. 171,SEPANGGAR,N. 16,KARAMBUNAI,12.7,3,,12.9,8.6,8.1,,0.6,26.8,2.7,,,,5.8,,,,,2.2,,3.1,6.1,
P. 171_N. 17,SABAH,P. 171,SEPANGGAR,N. 17,DARAU,,,,,,,,,,,,,,,,,,,,,,,
P. 171_N. 18,SABAH,P. 171,SEPANGGAR,N. 18,INANAM,3.6,,,30.4,15.1,22.4,1.7,,6.6,,,,,,,,,,7.2,,,,
P. 172_N. 19,SABAH,P. 172,KOTA KINABALU,N. 19,LIKAS,2.7,,,65.9,5.3,3.9,1.6,,2.9,,,,,,,,,,8.1,,0.5,,1.1
P. 172_N. 20,SABAH,P. 172,KOTA KINABALU,N. 20,API-API,,,,,,,,,,,,,,,,,,,,,,,
P. 172_N. 21,SABAH,P. 172,KOTA KINABALU,N. 21,LUYANG,,,,,,,,,,,,,,,,,,,,,,,
P. 173_N. 22,SABAH,P. 173,PUTATAN,N. 22,TANJUNG ARU,7.2,6.7,,23,5,2.5,,,29.2,2.1,,,2.5,,,,,,,1.7,,,
P. 173_N. 23,SABAH,P. 173,PUTATAN,N. 23,PETAGAS,10.9,8.4,,9.7,16.1,3.5,,1,26.5,,,,,6,,,,,3.1,1.9,,,
P. 173_N. 24,SABAH,P. 173,PUTATAN,N. 24,TANJUNG KERAMAT,19.2,9,,12.1,9.4,4.3,,1.6,17.9,,,,,7,,,,,2.7,,3.5,,
P. 174_N. 25,SABAH,P. 174,PENAMPANG,N. 25,KAPAYAN,,,,,,,,,,,,,,,,,,,,,,,
P. 174_N. 26,SABAH,P. 174,PENAMPANG,N. 26,MOYOG,,,,,,,,,,,,,,,,,,,,,,,
P. 175_N. 27,SABAH,P. 175,PAPAR,N. 27,LIMBAHAU,,4.1,,11.4,61.4,6.5,,,3.6,,,,,,,,,,4.9,,,,
P. 175_N. 28,SABAH,P. 175,PAPAR,N. 28,KAWANG,,,,,,,,,,,,,,,,,,,,,,,
P. 175_N. 29,SABAH,P. 175,PAPAR,N. 29,PANTAI MANIS,,,,,,,,,,,,,,,,,,,,,,,
P. 176_N. 30,SABAH,P. 176,KIMANIS,N. 30,BONGAWAN,6.7,33.2,,7,29.6,5.7,,,4.6,,,,,3.8,,,,,,1.7,,,
P. 176_N. 31,SABAH,P. 176,KIMANIS,N. 31,MEMBAKUT,,,,,,,,,,,,,,,,,,,,,,,
P. 177_N. 32,SABAH,P. 177,BEAUFORT,N. 32,KLIAS,,,,,,,,,,,,,,,,,,,,,,,
P. 177_N. 33,SABAH,P. 177,BEAUFORT,N. 33,KUALA PENYU,,,,,,,,,,,,,,,,,,,,,,,
P. 178_N. 34,SABAH,P. 178,SIPITANG,N. 34,LUMADAN,,,,,,,,,,,,,,,,,,,,,,,
P. 178_N. 35,SABAH,P. 178,SIPITANG,N. 35,SINDUMIN,4.3,13.6,21.8,7,4.7,3.8,,13.1,3.2,,,,,4.5,,,12.8,,,,,0.7,
P. 179_N. 36,SABAH,P. 179,RANAU,N. 36,KUNDASANG,,,,,,,,,,,,,,,,,,,,,,,
P. 179_N. 37,SABAH,P. 179,RANAU,N. 37,KARANAAN,,,,,,,,,,,,,,,,,,,,,,,
P. 179_N. 38,SABAH,P. 179,RANAU,N. 38,PAGINATAN,,,,,,,,,,,,,,,,,,,,,,,
P. 180_N. 39,SABAH,P. 180,KENINGAU,N. 39,TAMBUNAN,0.6,,,3.2,23.2,67.7,,,0.8,,,,,,,,,,,,,,
P. 180_N. 40,SABAH,P. 180,KENINGAU,N. 40,BINGKOR,3,,,9.4,12.1,55.5,,8.8,3,,,,,1,,,,,,,,,
P. 180_N. 41,SABAH,P. 180,KENINGAU,N. 41,LIAWAN,,,,,,,,,,,,,,,,,,,,,,,
P. 181_N. 42,SABAH,P. 181,TENOM,N. 42,MELALAP,,,,,,,,,,,,,,,,,,,,,,,
P. 181_N. 43,SABAH,P. 181,TENOM,N. 43,KEMABONG,,,,,,,,,,,,,,,,,,,,,,,
P. 182_N. 44,SABAH,P. 182,PENSIANGAN,N. 44,TULID,,,,3.9,9.8,71.6,,10,0.8,,,,,,,,,,,,,,
P. 182_N. 45,SABAH,P. 182,PENSIANGAN,N. 45,SOOK,,,,,,,,,,,,,,,,,,,,,,,
P. 182_N. 46,SABAH,P. 182,PENSIANGAN,N. 46,NABAWAN,,,,,,,,,,,,,,,,,,,,,,,
P. 183_N. 47,SABAH,P. 183,BELURAN,N. 47,TELUPID,,,,,,,,,,,,,,,,,,,,,,,
