STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,JANUARY 2025,MARCH 2025
SABAH,P.167,KUDAT,78268,78485
SABAH,P.168,KOTA MARUDU,84694,84942
SABAH,P.169,KOTA BELUD,82622,82852
SABAH,P.170,TUARAN,87341,87677
SABAH,P.171,SEPANGGAR,115473,116319
SABAH,P.172,KOTA KINABALU,72839,72608
SABAH,P.173,PUTATAN,66611,66841
SABAH,P.174,PENAMPANG,79921,80161
SABAH,P.175,PAPAR,62887,63226
SABAH,P.176,KIMANIS,42092,42200
SABAH,P.177,BEAUFORT,44304,44393
SABAH,P.178,SIPITANG,47243,47362
SABAH,P.179,RANAU,69377,69568
SABAH,P.180,KENINGAU,91622,92273
SABAH,P.181,TENOM,43717,43841
SABAH,P.182,PENSIANGAN,59274,59511
SABAH,P.183,BELURAN,47107,47314
SABAH,P.184,LIBARAN,75556,75698
SABAH,P.185,BATU SAPI,45980,46254
SABAH,P.186,SANDAKAN,55837,55737
SABAH,P.187,KINABATANGAN,47615,47830
SABAH,P.188,LAHAD DATU,105898,106360
SABAH,P.189,SEMPORNA,75490,75957
SABAH,P.190,TAWAU,91028,91209
SABAH,P.191,KALABAKAN,87989,88649
