UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,NUMBER OF CANDIDATES,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE  LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT
P. 140_N. 01,JOHOR,P. 140,SEGAMAT,N. 01,BULOH KASAP,,2,,28973,,,,,,,UMNO,ZAHARI SARIP,MALE,59,,,PKR,ROZY RAZIT,FEMALE,43,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 140_N. 02,JOHOR,P. 140,SEGAMAT,N. 02,JEMENTAH,,3,,41137,,,,,,,MCA,SEE ANN GIAP,MALE,34,,,DAP,NG KOR SIM,FEMALE,42,,,PAS,SAIFULLAH WAHAB,MALE,36,,,,,,,,,,,,,,,,,,,,
P. 141_N. 03,JOHOR,P. 141,SEKIJANG,N. 03,PEMANIS,,3,,30458,,,,,,,UMNO,ANUAR ABD MANAP,MALE,49,,,PKR,JALEX LEE,MALE,34,,,MIPP,DR. ARVIND,MALE,41,,,,,,,,,,,,,,,,,,,,
P. 141_N. 04,JOHOR,P. 141,SEKIJANG,N. 04,KEMELAH,,3,,35365,,,,,,,MIC,RAVEN KUMAR KRISHNASAMY,MALE,44,,,AMANAH,AFIF HAMID,MALE,36,,,PPBM,UZZAIR BIN ISMAIL,MALE,42,,,,,,,,,,,,,,,,,,,,
P. 142_N. 05,JOHOR,P. 142,LABIS,N. 05,TENANG,,4,,22616,,,,,,,UMNO,MOHD AZAHAR (TOK AI),MALE,54,,,AMANAH,ELIA NADIRA,FEMALE,42,,,PAS,CIKGU MALA,FEMALE,53,,,,,,,,,,,,,,,INDEPENDENT - PEN,SITI AISYAH BINTI ZOBIR,FEMALE,36,,
P. 142_N. 06,JOHOR,P. 142,LABIS,N. 06,BEKOK,,2,,27317,,,,,,,MCA,TAN CHONG,MALE,61,,,DAP,CIKGU TAY YOK JIUEN,FEMALE,54,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 143_N. 07,JOHOR,P. 143,PAGOH,N. 07,BUKIT KEPONG,,3,,37683,,,,,,,UMNO,CIKGU SYAR'E,MALE,51,,,PKR,MANI,MALE,59,,,PPBM,DATO' DR SAHRUDDIN BIN JAMAL,MALE,51,,,,,,,,,,,,,,,,,,,,
P. 143_N. 08,JOHOR,P. 143,PAGOH,N. 08,BUKIT PASIR,,3,,34142,,,,,,,UMNO,FAZLI SALLEH,MALE,39,,,AMANAH,KAPTEN (B) HJ NAJIB BIN LEP,MALE,63,,,PPBM,IDZHAR NASIRRUDDIN,MALE,34,,,,,,,,,,,,,,,,,,,,
P. 144_N. 09,JOHOR,P. 144,LEDANG,N. 09,GAMBIR,,3,,30326,,,,,,,UMNO,SAHRIHAN BIN JANI,MALE,48,,,PKR,HJ MOHD NOR MOHD YUSOF,MALE,49,,,PEJUANG,SURAYA SULAIMAN,FEMALE,45,,,,,,,,,,,,,,,,,,,,
P. 144_N. 10,JOHOR,P. 144,LEDANG,N. 10,TANGKAK,,2,,36955,,,,,,,MCA,HAW CHIN TECK,MALE,55,,,DAP,EE CHIN LI,MALE,44,,,,,,,,,,,,,,,,,,,,,,,,,,
