Time,JOHOR,BEKOK,BENTAYAN,SIMPANG JERAM,MAHARANI,SRI MEDAN,SEMARANG,PENGGARAM,RENGIT,MAHKOTA,KAHANG,PASIR RAJA,SEDILI,PENAWAR,TANJUNG SURAT,STULANG,PERLING,KUKUP
9:00 AM,7.97,,7.7,7.7,,,,,,15.8,,13.6,,,13.6,,,7.6
10:00 AM,,,,,,,,,,,,,,,,,,
11:00 AM,26.43,,19.9,,21.9,,33.2,19.6,33.6,,,,,,34.4,,,
12:00 PM,34.78,,25.8,28.2,,,45.2,25.4,,,,,41.9,,45.4,,,
1:00 PM,42.16,,32.6,35.2,,,50.5,32.2,,,,,50.5,,48.6,,,
2:00 PM,48.91,,40.4,43,,,57.8,39.6,,,56,,56.6,,,,,
3:00 PM,56.77,,49,,,64.4,66.1,48.8,,,,,,64.2,,,50.3,
4:00 PM,63.13,,56.1,,,71.6,72.6,56.5,,,,,70.5,,,,56.1,
5:00 PM,67.44,58.9,,,,77.2,76.8,,,,,,74.3,,,60.5,60.6,
6:00 PM,,,,,,,,,,,,,,,,,,
Final Turnout,68.73,60.4,64.2,71.2,68.8,79.3,78.3,64.7,75.4,68.3,72.2,72.2,80.2,76,72.9,62.5,62.8,73.7
