UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - MILITARY AND SPOUSES VOTERS (%),ELECTORS - POLICE AND SPOUSES VOTERS (%,18 - 20 (%),21 - 29 (%),30 - 39 (%),40 - 49 (%),50 - 59 (%),60 - 69 (%),70 - 79 (%),80 - 89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN - RURAL CLASSIFICATION (2025)
P. 140_N. 01,JOHOR,P. 140,SEGAMAT,N. 01,BULOH KASAP,28973,56.44,31.32,10.39,0.13,0.18,0.58,0.96,99.95,0.00,0.05,5.17,17.49,24.27,18.71,12.55,12.78,6.98,1.55,0.51,50.04,49.96,SEMI URBAN
P. 140_N. 02,JOHOR,P. 140,SEGAMAT,N. 02,JEMENTAH,41137,41.63,49.13,7.79,0.58,0.76,0.06,0.82,96.76,1.23,2.01,4.05,16.01,21.19,16.88,14.12,14.82,9.3,2.88,0.74,50.66,49.34,SEMI URBAN
P. 141_N. 03,JOHOR,P. 141,SEKIJANG,N. 03,PEMANIS,30458,63.3,32.55,2.27,0.16,0.22,0.03,1.47,100.00,0.00,0.00,5.32,16.93,21.53,19.51,13.54,12.51,8.24,2.02,0.4,49.45,50.55,URBAN
P. 141_N. 04,JOHOR,P. 141,SEKIJANG,N. 04,KEMELAH,35365,54.64,38.17,5.6,0.15,0.12,0.71,0.74,100.00,0.00,0.00,6.22,20.72,23.14,18.95,12.49,10.13,6.26,1.83,0.25,49.52,50.48,URBAN
P. 142_N. 05,JOHOR,P. 142,LABIS,N. 05,TENANG,22616,49.46,36.74,11.19,0.15,0.08,2,0.39,99.97,0.00,0.03,4.64,16.31,20.73,18.96,16.13,12.57,7.56,2.58,0.52,50.10,49.90,SEMI URBAN
P. 142_N. 06,JOHOR,P. 142,LABIS,N. 06,BEKOK,27317,29.54,47.27,18.75,0.19,0.07,3.53,0.65,99.82,0.00,0.18,4.58,15.76,20.45,17.91,14.77,13.98,9.04,2.73,0.79,50.33,49.67,SEMI URBAN
P. 143_N. 07,JOHOR,P. 143,PAGOH,N. 07,BUKIT KEPONG,37683,70.33,25.1,2.8,0.13,0.1,1.17,0.37,99.79,0.00,0.21,4.61,16.62,22.41,18.34,13.82,13.78,7.14,2.62,0.65,49.95,50.05,RURAL
P. 143_N. 08,JOHOR,P. 143,PAGOH,N. 08,BUKIT PASIR,34142,62.56,32.42,4.17,0.31,0.17,0,0.37,99.92,0.00,0.08,6.37,21,21.56,17.55,13.96,10.97,5.96,2.09,0.52,49.73,50.27,SEMI URBAN
P. 144_N. 09,JOHOR,P. 144,LEDANG,N. 09,GAMBIR,30326,59.83,35.64,3.69,0.15,0.17,0.02,0.51,99.88,0.00,0.12,5.62,19.15,21,17.17,15.16,11.99,6.81,2.58,0.52,49.71,50.29,RURAL
P. 144_N. 10,JOHOR,P. 144,LEDANG,N. 10,TANGKAK,36955,40.81,46.69,10.02,0.22,0.1,1.56,0.6,99.21,0.00,0.79,5.76,19.15,21.06,17.6,14.11,12.11,7.31,2.44,0.46,49.67,50.33,SEMI URBAN
