UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,NUMBER OF CANDIDATES,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE  LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.126_N.01,NEGERI SEMBILAN,P.126,JELEBU,N.01,CHENNAH,,2,,14422,,,,,,,MCA,SIOW KONG CHOON (JOHN),MALE,37,,,DAP,LOKE SIEW FOOK,MALE,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.126_N.02,NEGERI SEMBILAN,P.126,JELEBU,N.02,PERTANG,,3,,12873,,,,,,,UMNO,JALALUDDIN BIN ALIAS,MALE,62,,,PKR,MOHD UMRY,MALE,34,,,,,,,,,PPBM,BANG CHIK (FAIZAL),MALE,37,,,,,,,,,,,,,,,,,,,,
P.126_N.03,NEGERI SEMBILAN,P.126,JELEBU,N.03,SUNGAI LUI,,3,,19684,,,,,,,UMNO,MOHD. RAZI BIN MOHD. ALI,MALE,53,,,PKR,CIKGU ZAINAL FIKRI,MALE,54,,,,,,,,,PPBM,MAZRULHISHAM BIN ABD MANSOR,MALE,51,,,,,,,,,,,,,,,,,,,,
P.126_N.04,NEGERI SEMBILAN,P.126,JELEBU,N.04,KLAWANG,,3,,13355,,,,,,,,,,,,,AMANAH,BAKRI SAWIR,MALE,67,,,WAWASAN,DANNI RAIS,MALE,38,,,PPBM,ADIB MUSA,MALE,25,,,,,,,,,,,,,,,,,,,,
P.127_N.05,NEGERI SEMBILAN,P.127,JEMPOL,N.05,SERTING,,3,,30599,,,,,,,,,,,,,AMANAH,YAACOB MAHMOOD,MALE,62,,,PAS,USTAZ FAIRUZ ISA,MALE,50,,,PPBM,AFFENDY SALLEH,MALE,38,,,,,,,,,,,,,,,,,,,,
P.127_N.06,NEGERI SEMBILAN,P.127,JEMPOL,N.06,PALONG,,3,,23555,,,,,,,UMNO,MUSTAPHA NAGOOR @ PAK MUS,MALE,58,,,PKR,ZAHIN ZINAL @ BONG,MALE,33,,,,,,,,,PPBM,REBIN BIN BRIHAM,MALE,50,,,,,,,,,,,,,,,,,,,,
P.127_N.07,NEGERI SEMBILAN,P.127,JEMPOL,N.07,JERAM PADANG,,4,,16590,,,,,,,UMNO,MOHD ZAIDY BIN ABDUL KADIR,MALE,44,,,PKR,MANIVANAN GOWIN,MALE,50,,,,,,,,,PPBM,SANJEEVAN,MALE,41,,,POAM,DAYANA BINTI DAL,FEMALE,40,,,,,,,,,,,,,,
P.127_N.08,NEGERI SEMBILAN,P.127,JEMPOL,N.08,BAHAU,,2,,25972,,,,,,,MCA,CHONG FUI MING,MALE,48,,,DAP,TEO KOK SENG,MALE,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128_N.09,NEGERI SEMBILAN,P.128,SEREMBAN,N.09,LENGGENG,,3,,28880,,,,,,,UMNO,HJ ASNA,MALE,47,,,AMANAH,HAJAH ZARINNA,FEMALE,57,,,,,,,,,PPBM,ZOOL AMALI BIN HUSSIN,MALE,46,,,,,,,,,,,,,,,,,,,,
P.128_N.10,NEGERI SEMBILAN,P.128,SEREMBAN,N.10,NILAI,,5,,45911,,,,,,,MCA,ALAN LAI,MALE,53,,,DAP,J. ARUL KUMAR,MALE,40,,,,,,,,,PPBM,V. SARA,MALE,52,,,BERJASA,ZAMANI IBRAHIM,MALE,62,,,INDEPENDENT - KEY,OMAR MOHD ISA,MALE,60,,,,,,,,
