Created on,16/7/2026
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Election Commission, BERNAMA (https://prn.bernama.com/n9/penamaan/index.php?n=05). Refer to Other Sources section below for detailed source links"
Disclaimers,"The spelling of the candidates follow the names as spelt as Election Commission (SPR Dashboard). There is tacit alliance between BN and PN for this elections. Parti Pribumi Bersatu Malaysia (PPBM), while being a member of PN, decided to contest against PN and BN parties. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives"
Attribute,
,
Other Sources,
https://harakahdaily.net/2026/07/16/pn-pertaruh-11-calon-prn-n9-ke-16-lima-daripada-pas/,
https://www.hmetro.com.my/amp/mutakhir/2026/07/1385344/prn-negeri-sembilan-pn-sah-bertanding-11-kerusi,
https://malaysiagazette.com/2026/07/16/prn-n-sembilan-calon-mca-seru-pengundi-sokong-beri-mandat-kepada-bn/,
https://www.nst.com.my/news/nation/2026/07/1490825/negri-sembilan-election-berjasa-contest-nilai-seat-after-pn-snub?source=widget,
https://umno-online.my/2026/07/15/senarai-calon-bn-prn-negeri-sembilan/,
https://web.facebook.com/amanahnegara/posts/-amanah-tampil-dengan-calon-terbaik-untuk-negeri-sembilan-parti-amanah-negara-de/1578269500313704/?_rdc=1&_rdr#,
https://web.facebook.com/leeza.yasin/posts/alhamdulillah-segala-puji-bagi-allah-swtdengan-penuh-rasa-syukur-dan-rendah-diri/27780228094922021/?_rdc=1&_rdr#,
https://web.facebook.com/MalaysiaGazette/posts/senarai-calon-barisan-nasional-bn-bagi-prn-negeri-sembilan-ke-16-telah-diumumkan/1535546315283401/?_rdc=1&_rdr#,
https://web.facebook.com/p/Suhaimi-Aini-N28-100094893772429/?_rdc=1&_rdr#,
https://web.facebook.com/share/p/1DEoiG1QLf/,
https://web.facebook.com/share/p/1EFsqrsPQE/,
https://www.freemalaysiatoday.com/category/nation/2026/07/16/psms-cikgu-tina-to-contest-rahang-in-negeri-sembilan-polls,
https://www.kosmo.com.my/2026/07/13/dap-negeri-sembilan-kekal-8-calon-penyandang-perkenal-3-muka-baharu/,
https://www.malaysiakini.com/news/779918,
https://www.sinarharian.com.my/article/787977/berita/politik/prn-negeri-sembilan-bn-tanding-25-daripada-36-kerusi-dun,
https://www.utusan.com.my/berita/2026/07/calon-pakatan-harapan-di-prn-negeri-sembilan/,
https://x.com/BoonShian/status/1685203275149447168,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier)
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Code (2018 - present at the Created Date)
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Name (2018 - present at the Created Date)
STATE CONSTITUENCY CODE,State Constituency (DUN) Code (2018 - present at the Created Date)
STATE CONSTITUENCY NAME,State Constituency (DUN) Name (2018 - present at the created Date)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector count using the April 2026 Electoral Roll gazetted on 21st May 2026 updated until 4th June 2026
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll (as in A in all Form 14 + A in Form 15)
TOTAL UNRETURNED BALLOTS,Total number of ballot papers issued but not put in the ballot box (as in D in all Form 14) and not returned (as in D in Form 15) (B-C-D)
TOTAL REJECTED VOTES,Total number of rejected ballot papers (as in C in all Form 14 + C in Form 15)
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party
BN CANDIDATE,Barisan Nasional Candidate Name as per the Government Gazette (Form 8)
BN CANDIDATE SEX,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
BN VOTE,Barisan Nasional Valid Vote for the Candidate
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
