Created On,15/7/2026
Created By,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Election Commission of Malaysia (SPR), Tindak Malaysia (2026), ElectionData.MY, Pesaresi, Martino; Politis, Panagiotis (2023): GHS-BUILT-C R2023A - GHS Settlement Characteristics, derivedfrom Sentinel2 composite (2018) and other GHS R2023A data. European Commission, Joint Research Centre (JRC) [Dataset] doi: 10.2905/3C60DDF6-0586-4190-854B-F6AA0EDC2A30 PID: http://data.europa.eu/89h/3c60ddf6-0586-4190-854b-f6aa0edc2a30"
Disclaimers,"There is no official ethnic demographic data. Ethnic composition for DUN Nilai and DUN Bagan Pinang have Malay share is more than 1% higher than April 2025 statistics of Election Lab (hence data may need further scrutinisation). The demographics data for Age Categories, Voter Type and Sex Category refers to April 2026 Electoral Roll (but not identical to the one used for Negeri Sembilan 2026 Electoral Roll). Urbanisation level is derived from Global Human Settlement Layer (GHSL) and subsequently computed by Tindak Malaysia for final urbanisation levels for each DUN. OKU Vote Count refers to total voters who are registered people with disabililty (OKU) and it is based on the principal electoral roll of 2025 (not reflective of 2026 electoral roll for Negeri Sembilan elections). TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives"
Attribute,
,
Field Name,Field Description
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier)
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Code (2018 - present at the Created Date)
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Name (2018 - present at the Created Date)
STATE CONSTITUENCY CODE,State Constituency (DUN) Code (2018 - present at the Created Date)
STATE CONSTITUENCY NAME,State Constituency (DUN) Name (2018 - present at the created Date)
TOTAL ELECTORS,Total Elector count using the April 2026 Electoral Roll gazetted on 21st May 2026 updated until 4th June 2026
MALAY (%),Proportion of Malay Electors for the State Constituency (%)
CHINESE (%),Proportion of Chinese Electors for the State Constituency (%)
INDIANS (%),Proportion of Indians Electors for the State Constituency (%)
ORANG ASLI (%),Proportion of Orang Asli Electors for the State Constituency (%)
BUMIPUTERA SABAH (%),Proportion of Bumiputera Sabah Electors for the State Constituency (%)
BUMIPUTERA SARAWAK (%),Proportion of Bumiputera Sarawak Electors for the State Constituency (%)
OTHERS (%),Proportion of Others Electors for the State Constituency (%)
ELECTORS - ORDINARY VOTERS (%),Proportion of Electors - Ordinary Electors for the State Constituency (%)
ELECTORS - MILITARY AND SPOUSES VOTERS (%),Proportion of Electors - Military and Spouses (Electors) for the State Constituency (%)
ELECTORS - POLICE AND SPOUSES VOTERS (%),Proportion of Electors - Police and Spouses (Electors) for the State Constituency (%)
18 - 20 (%),Proportion of 18 - 20 Electors for the State Constituency (%)
21 - 29 (%),Proportion of 21 - 29 Electors for the State Constituency (%)
30 - 39 (%),Proportion of 30 - 39 Electors for the State Constituency (%)
40 - 49 (%),Proportion of 40 - 49 Electors for the State Constituency (%)
50 - 59 (%),Proportion of 50 - 59 Electors for the State Constituency (%)
60 - 69 (%),Proportion of 60 - 69 Electors for the State Constituency (%)
70 - 79 (%),Proportion of 70 - 79 Electors for the State Constituency (%)
80 - 89 (%),Proportion of 80 - 89 Electors for the State Constituency (%)
90 AND ABOVE (%),Proportion of 90 and Above Electors for the State Constituency (%)
MALE ELECTORS (%),Proportion of Male Electors for the State Constituency (%)
FEMALE ELECTORS (%),Proportion of Female Electors for the State Constituency (%)
URBAN - RURAL CLASSIFICATION (2025),State Constituency urbanisation classification
OKU VOTER COUNT (2025),Total Registered People with Disability (OKU)
