UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - MILITARY AND SPOUSES VOTERS (%),ELECTORS - POLICE AND SPOUSES VOTERS (%,18 - 20 (%),21 - 29 (%),30 - 39 (%),40 - 49 (%),50 - 59 (%),60 - 69 (%),70 - 79 (%),80 - 89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN - RURAL CLASSIFICATION (2025),OKU VOTER COUNT (2025)
P.126_N.01,NEGERI SEMBILAN,P.126,JELEBU,N.01,CHENNAH,14422,47.77,42.57,2.01,0.09,0.12,6.29,1.16,99.8,0,0.2,4.56,14.65,18.96,19.17,15.71,14.21,9.05,3.02,0.67,51.36,48.64,RURAL,391
P.126_N.02,NEGERI SEMBILAN,P.126,JELEBU,N.02,PERTANG,12873,66.43,19.27,6.47,0.17,0.02,7.18,0.46,99.89,0,0.11,4.63,14.85,20.41,23.2,14.71,10.76,8.86,2.12,0.46,50.63,49.37,RURAL,387
P.126_N.03,NEGERI SEMBILAN,P.126,JELEBU,N.03,SUNGAI LUI,19684,79.78,5.73,8.12,0.31,0.11,5.68,0.26,95.31,0,4.69,5.14,16.74,23.54,25.77,9.59,8.57,9.08,1.38,0.19,49.93,50.07,RURAL,560
P.126_N.04,NEGERI SEMBILAN,P.126,JELEBU,N.04,KLAWANG,13355,66.3,27.35,3.69,0.16,0.06,1.91,0.54,98.44,0,1.56,5.74,17.34,20.07,17.81,14.29,13.33,7.91,2.73,0.79,50.09,49.91,SEMI URBAN,309
P.127_N.05,NEGERI SEMBILAN,P.127,JEMPOL,N.05,SERTING,30599,78.18,12.04,8.67,0.1,0.1,0.24,0.68,99.2,0,0.8,4.69,17.42,29.63,18.78,8.97,12.99,6.09,1.2,0.24,48.89,51.11,RURAL,799
P.127_N.06,NEGERI SEMBILAN,P.127,JEMPOL,N.06,PALONG,23555,92.32,1.57,5.73,0.07,0.04,0.07,0.19,100,0,0,4.56,13.31,27.21,26.68,6.42,11.26,9.82,0.71,0.03,48.42,51.58,SEMI URBAN,580
P.127_N.07,NEGERI SEMBILAN,P.127,JEMPOL,N.07,JERAM PADANG,16590,52.31,9.29,33.13,0.08,0.1,4.53,0.56,99.9,0,0.1,6.23,18.1,21.54,21.13,13.07,10.23,7.72,1.62,0.37,47.98,52.02,RURAL,524
P.127_N.08,NEGERI SEMBILAN,P.127,JEMPOL,N.08,BAHAU,25972,30.35,57.98,10.78,0.15,0.05,0.05,0.64,99.72,0,0.28,5.22,17.16,20.49,17.45,14.57,13.36,8.25,2.91,0.59,49.48,50.52,SEMI URBAN,635
P.128_N.09,NEGERI SEMBILAN,P.128,SEREMBAN,N.09,LENGGENG,28880,76.73,14.22,5.19,0.21,0.16,2.34,1.14,99.8,0,0.2,5.92,21.64,22.34,16.27,13.8,12.11,5.95,1.59,0.38,49.17,50.83,URBAN,659
P.128_N.10,NEGERI SEMBILAN,P.128,SEREMBAN,N.10,NILAI,45911,46.38,29.95,20.84,0.65,0.44,0.66,1.07,99.04,0.06,0.9,9.17,24.73,19.84,17.06,13.4,9.3,4.79,1.39,0.32,50.75,49.25,SEMI URBAN,882
