UNIQUE CODE,STATE,FEDERAL LEGISLATIVE CONSTITUENCY CODE,FEDERAL LEGISLATIVE COUNCIL CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
NO. 1,PENANG (SETTLEMENT OF),NO. 1,WELLESLEY NORTH,ALLIANCE - UMNO,Y,28190,,,,,,UMNO,HASHIM BIN AWANG,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO. 2,PENANG (SETTLEMENT OF),NO. 2,WELLESLEY SOUTH,ALLIANCE - MCA,,24320,12174,80.02,19460,240,19220,MCA,TAY HOOI SOO,MALE,,15697,,PMIP,HAJI ZABIDI BIN HAJI ALI,MALE,,3523,,,,,,,,,,,,,,,,,,,,,,,,,
NO. 3,PENANG (SETTLEMENT OF),NO. 3,GEORGE TOWN,ALLIANCE - MCA,,19935,4603,52.65,10495,163,10332,MCA,CHEE SWEE EE,MALE,53,7253,,LPM,OOI THIAM SIEW,MALE,41,2650,,,,,,,,,,,,,,INDEPENDENT,CHEAH PHEE AIK,MALE,40,429,LOST DEPOSIT,,,,,,
NO. 4,PENANG (SETTLEMENT OF),NO. 4,PENANG ISLAND,ALLIANCE - UMNO,,27281,11940,66.48,18136,346,17790,UMNO,ZAINUL ABIDN BIN SULTAN MYDIN,MALE,57,14865,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MD. ISA BIN SULAIMAN,MALE,37,2925,,,,,,,
NO. 5,MALACCA (SETTLEMENT OF),NO. 5,MALACCA CENTRAL,ALLIANCE - MCA,,25511,13910,81.25,20727,429,20298,MCA,TAN SIEW SIN,MALE,39,17104,,,,,,,,,,,,,,,,,,,,INDEPENDENT,ABDUL KARIM BIN BAKAR,MALE,33,3194,,,,,,,
NO. 6,MALACCA (SETTLEMENT OF),NO. 6,MALACCA LUAR,ALLIANCE - UMNO,,34204,23969,88.17,30158,547,29611,UMNO,ABDUL GHAFFAR BIN BABA,MALE,30,26790,,,,,,,,NEGARA,JAAFAR BIN MOHD. TAN,MALE,29,2821,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
NO. 7,PERAK,NO. 7,KRIAN,PMIP,,27239,450,78.22,21306,1071,20235,UMNO,HAJI SULAIMAN BIN HAJI AHMAD,MALE,30,8235,,PMIP,HAJI AHMAD BIN HAJI HUSSAIN,MALE,50,8685,,NAP,MOHAMED JAN BIN NGAH MOHAMED,MALE,55,3315,,,,,,,,,,,,,,,,,,,
NO. 8,PERAK,NO. 8,BATANG PADANG,ALLIANCE - UMNO,,13677,7952,83.10,11366,212,11154,UMNO,ABDUL HAMID KHAN BIN HAJI SAKHAWAT ALI KHAN,MALE,54,9170,,,,,,,,NAP,MOHAMED SHAMSHUDDIN BIN HAJI HAMZAH,MALE,53,1218,LOST DEPOSIT,PML,ABDUL MAJID BIN ARIFFIN,MALE,41,766,LOST DEPOSIT,,,,,,,,,,,,
NO. 9,PERAK,NO. 9,LARUT AND MATANG,ALLIANCE - MCA,,30454,10954,81.73,24891,833,24058,MCA,DR. CHEAH KAY CHUAN,,51,15407,,LPM,DR. PURAN SINGH,MALE,46,761,LOST DEPOSIT,NAP,WAN ZARAZILLAH BIN WAN HAJI ISMAIL,MALE,56,3437,,PML,ABU BAKAR BIN SAID,MALE,47,4453,,,,,,,,,,,,,
NO. 10,PERAK,NO. 10,DINDINGS,ALLIANCE - UMNO,,16512,8882,82.75,13663,326,13337,UMNO,HAJI MIOR ARIFF BIN MIOR ALWI,MALE,50,10511,,PMIP,ABDUL WAHAB BIN HAJI MD. NOOR,MALE,33,1197,LOST DEPOSIT,NAP,MOHD. YUNUS BIN MAHMOOD,MALE,42,1629,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
