Number,Election Year,Dissolution of DUN,Nomination Day,Polling Day,Campaign period,Electoral Roll,Notes
1,1967,1st February 1967,8th March 1967,8th April 1967 - 23rd April 1967,31,Certified Electoral Roll of 1st February 1967,
2,1971,20th September 1971,5th October 1971,N/A,,(No Information),Complete uncontested elections
3,1976,23rd January 1976,18th March 1976,5th - 14th April 1976,18,Electoral Roll of 1974/75 certified on 31st May 1975,
4,1981,21st February 1981,7th March 1981,23rd - 28th March 1981,16,Electoral Roll of 1980 certified on 22nd May 1980,
5,1985,16th March 1985,2nd April 1985,20th - 21st April 1985,18,Electoral Roll Certified on 2nd January 1985,
6,1986,26th February 1986,19th April 1986,5th - 6th May 1986,16,Electoral Roll Certified on 2nd February 1986,
7,1990,26th May 1990,4th July 1990,16th - 17th July 1990,12,Electoral Roll certified on 9th June 1990,
8,1994,10th January 1994,7th February 1994,18th - 19th February 1994,11,Electoral Roll of 1992 certified on 27th May 1993,
9,1999,22nd February 1999,2nd March 1999,12th March - 13th March 1999,10,Electoral Roll of 1998 certified on 7th January 1999,
10,2004,4th March 2004,13th March 2004,21st March 2004,8,Principal Electoral Roll of 2003 that was certified on 2nd March 2004 and gazetted on 4th March 2004,First time synced with General Election cycle dates
11,2008,13th February 2008,24th February 2008,8th March 2008,13,Principal Electoral Roll of 2007 that was gazetted on 5th February 2008,
12,2013,3rd April 2013,20th April 2013,5th May 2013,15,Principal Electoral of 2011 merged with four Supplementary Rolls of 2012 which was gazetted on 11th April 2013,
13,2018,7th April 2018,28th April 2018,9th May 2018,14,Electoral Roll up to 4th Quarter of 2017 gazetted on 14th April 2018,
14,2020,31st July 2020,12th September 2020,26th September 2020,14,Principal Electoral Roll of 2019 which was combined with 1st Quarter of 2020 electoral roll which was certified on 12th August 2020,Sabah state elections no longer synced with General Election cycle dates
15,2025,6th October 2025,15th November 2025,29th Novemeber 2025,14,Electoral Roll up to August 2025 Supplementary electoral roll which was updated up to 5th October 2025,
,,,,,Source,"Official Election Reports by Election Commission, Straits Times 21/9/1971, 6/10/1971, https://www.geocities.ws/hualian_studentclub/pilihanraya/, https://web.facebook.com/photo/?fbid=733472143885387&set=pcb.733472323885369, https://ppn.spr.gov.my/sabah/?page_id=350, https://www.kln.gov.my/web/kor_seoul/news-from-mission/-/blogs/kenyataan-media-berhubung-urusan-pru-14",

